trial,tilt,rep,rpm,cruise_revs,phase_cmd_deg,auger_rev_total,m_base,m_halt,t_move_s,m_settled,afterflow_g,dispensed_g,abs_mass_g,verdict
3,55.0,1,90.0,4,0.0,12.0,2.8157,2.8877,3.24,2.9468,0.0591,0.1311,2.9468,ok
4,55.0,1,90.0,4,45.0,16.125,2.9631,3.0599,3.33,3.1155,0.0556,0.1524,3.1155,ok
5,55.0,1,90.0,4,90.0,20.25,3.1179,3.2123,3.33,3.2733,0.061,0.1554,3.2733,ok
6,55.0,1,90.0,4,135.0,24.375,3.282,3.3575,3.33,3.4158,0.0583,0.1338,3.4158,ok
7,55.0,1,90.0,4,180.0,28.5,3.4218,3.4989,3.33,3.5623,0.0634,0.1405,3.5623,ok
8,55.0,1,90.0,4,225.0,32.625,3.5621,3.6588,3.33,3.7144,0.0556,0.1523,3.7144,ok
9,55.0,1,90.0,4,270.0,36.75,3.7081,3.8025,3.33,3.8576,0.0551,0.1495,3.8576,ok
10,55.0,1,90.0,4,315.0,40.875,3.8342,3.9461,3.33,3.9797,0.0336,0.1455,3.9797,ok
11,55.0,2,90.0,4,0.0,45.0,3.998,4.112,3.33,4.1418,0.0298,0.1438,4.1418,ok
12,55.0,2,90.0,4,315.0,49.875,4.121,4.2944,3.83,4.3253,0.0309,0.2043,4.3253,ok
13,55.0,2,90.0,4,270.0,54.75,4.3214,4.4869,3.83,4.4975,0.0106,0.1761,4.4975,ok
14,55.0,2,90.0,4,225.0,59.625,4.4811,4.6658,3.83,4.6797,0.0139,0.1986,4.6797,ok
15,55.0,2,90.0,4,180.0,64.5,4.6626,4.817,3.83,4.8438,0.0268,0.1812,4.8438,ok
16,55.0,2,90.0,4,135.0,69.375,4.8328,4.9926,3.83,5.0153,0.0227,0.1825,5.0153,ok
17,55.0,2,90.0,4,90.0,74.25,5.0276,5.1649,3.83,5.2076,0.0427,0.18,5.2076,ok
18,55.0,2,90.0,4,45.0,79.125,5.1985,5.3338,3.83,5.3591,0.0253,0.1606,5.3591,ok
19,55.0,3,90.0,4,90.0,83.25,5.3588,5.4806,3.33,5.5024,0.0218,0.1436,5.5024,ok
20,55.0,3,90.0,4,135.0,87.375,5.4873,5.635,3.33,5.6407,0.0057,0.1534,5.6407,ok
21,55.0,3,90.0,4,180.0,91.5,5.6632,5.7904,3.33,5.8122,0.0218,0.149,5.8122,ok
22,55.0,3,90.0,4,225.0,95.625,5.7822,5.9309,3.33,5.9225,-0.0084,0.1403,5.9225,ok
23,55.0,3,90.0,4,270.0,99.75,5.9149,6.0586,3.33,6.0635,0.0049,0.1486,6.0635,ok
24,55.0,3,90.0,4,315.0,103.875,6.1015,6.2259,3.33,6.2329,0.007,0.1314,6.2329,ok
25,55.0,3,90.0,4,0.0,108.0,6.2479,6.3592,3.33,6.3763,0.0171,0.1284,6.3763,ok
26,55.0,3,90.0,4,45.0,112.125,6.425,6.5221,3.33,6.5483,0.0262,0.1233,6.5483,ok
27,70.0,1,90.0,4,0.0,117.0,6.5591,6.6916,3.83,6.7328,0.0412,0.1737,6.7328,ok
28,70.0,1,90.0,4,45.0,121.125,6.7479,6.8409,3.33,6.8783,0.0374,0.1304,6.8783,ok
29,70.0,1,90.0,4,90.0,125.25,6.8962,6.9989,3.33,7.0505,0.0516,0.1543,7.0505,ok
30,70.0,1,90.0,4,135.0,129.375,7.0523,7.1392,3.33,7.1894,0.0502,0.1371,7.1894,ok
31,70.0,1,90.0,4,180.0,133.5,7.1904,7.2932,3.33,7.3277,0.0345,0.1373,7.3277,ok
32,70.0,1,90.0,4,225.0,137.625,7.3295,7.4417,3.33,7.4724,0.0307,0.1429,7.4724,ok
33,70.0,1,90.0,4,270.0,141.75,7.4543,7.5857,3.33,7.6247,0.039,0.1704,7.6247,ok
34,70.0,1,90.0,4,315.0,145.875,7.6189,7.7312,3.33,7.771,0.0398,0.1521,7.771,ok
35,70.0,2,90.0,4,0.0,150.0,7.7871,7.9159,3.33,7.9227,0.0068,0.1356,7.9227,ok
36,70.0,2,90.0,4,315.0,154.875,7.9189,8.0693,3.83,8.0819,0.0126,0.163,8.0819,ok
37,70.0,2,90.0,4,270.0,159.75,8.0713,8.2404,3.83,8.246,0.0056,0.1747,8.246,ok
38,70.0,2,90.0,4,225.0,164.625,8.2604,8.4071,3.83,8.421,0.0139,0.1606,8.421,ok
39,70.0,2,90.0,4,180.0,169.5,8.4254,8.577,3.83,8.5861,0.0091,0.1607,8.5861,ok
40,70.0,2,90.0,4,135.0,174.375,8.5926,8.7628,3.83,8.7682,0.0054,0.1756,8.7682,ok
41,70.0,2,90.0,4,90.0,179.25,8.7653,8.9241,3.83,8.9397,0.0156,0.1744,8.9397,ok
42,70.0,2,90.0,4,45.0,184.125,8.9618,9.0987,3.83,9.1294,0.0307,0.1676,9.1294,ok
