M,experiment,afterflow-battery-C6-C8-B4
M,powder_id,salt
M,cap_g,46.0
M,hard_g,48.0
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,cont_s,6.0
M,prime_revs,3.0
M,taponly_n,15
M,settle_stream_s,8.0
M,auger_tare_g,56.716
M,total_loaded_g,127.98
M,planned_trials,55
E,1229,noise baseline: tare, 20 s static raw stream
P,1779,0,0.0,0,tare0,0.0000
D,1872,0,noise,0.0000,S,0,0
D,1968,0,noise,0.0000,S,0,0
D,2064,0,noise,0.0000,S,0,0
D,2157,0,noise,0.0000,S,0,0
D,2253,0,noise,0.0000,S,0,0
D,2349,0,noise,0.0000,S,0,0
D,2445,0,noise,0.0000,S,0,0
D,2541,0,noise,0.0000,S,0,0
D,2636,0,noise,0.0000,S,0,0
D,2732,0,noise,0.0000,S,0,0
D,2828,0,noise,0.0000,S,0,0
D,2924,0,noise,0.0000,S,0,0
D,3018,0,noise,0.0000,S,0,0
D,3114,0,noise,0.0000,S,0,0
D,3209,0,noise,0.0000,S,0,0
D,3305,0,noise,0.0000,S,0,0
D,3401,0,noise,0.0000,S,0,0
D,3497,0,noise,0.0000,S,0,0
D,3593,0,noise,0.0000,S,0,0
D,3689,0,noise,0.0000,S,0,0
D,3785,0,noise,0.0000,S,0,0
D,3878,0,noise,0.0000,S,0,0
D,3974,0,noise,0.0000,S,0,0
D,4070,0,noise,0.0000,S,0,0
D,4166,0,noise,0.0000,S,0,0
D,4262,0,noise,0.0000,S,0,0
D,4358,0,noise,0.0000,S,0,0
D,4454,0,noise,0.0000,S,0,0
D,4549,0,noise,0.0000,S,0,0
D,4645,0,noise,0.0000,S,0,0
D,4741,0,noise,0.0000,S,0,0
D,4835,0,noise,0.0000,S,0,0
D,4931,0,noise,0.0000,S,0,0
D,5027,0,noise,0.0000,S,0,0
D,5123,0,noise,0.0000,S,0,0
D,5218,0,noise,0.0000,S,0,0
D,5314,0,noise,0.0000,S,0,0
D,5410,0,noise,0.0000,S,0,0
D,5506,0,noise,0.0000,S,0,0
D,5602,0,noise,0.0000,S,0,0
D,5695,0,noise,0.0000,S,0,0
D,5791,0,noise,0.0000,S,0,0
D,5887,0,noise,0.0000,S,0,0
D,5983,0,noise,0.0001,S,0,0
D,6079,0,noise,0.0000,S,0,0
D,6175,0,noise,0.0000,S,0,0
D,6271,0,noise,0.0000,S,0,0
D,6366,0,noise,0.0000,S,0,0
D,6462,0,noise,0.0000,S,0,0
D,6556,0,noise,0.0000,S,0,0
D,6652,0,noise,0.0000,S,0,0
D,6748,0,noise,0.0000,S,0,0
D,6844,0,noise,0.0000,S,0,0
D,6939,0,noise,0.0000,S,0,0
D,7035,0,noise,0.0000,S,0,0
