M,experiment,afterflow-battery-C6-C8-B4-B5
M,powder_id,salt
M,cap_g,33.0
M,hard_g,35.0
M,standing_load_g_pretare,63.5
M,scale_max_g,102.0
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,cont_s,6.0
M,prime_revs,3.0
M,taponly_n,15
M,settle_stream_s,8.0
M,auger_tare_g,56.716
M,total_loaded_g_original,127.98
M,dispensed_prior_attempt_g,10.16
M,total_onboard_est_g,117.82
M,salt_remaining_est_g,61.1
M,restart,attempt-2-after-operator-reset
M,planned_trials,58
E,1233,noise baseline: tare, 20 s static raw stream
P,3217,0,0.0,0,tare0,0.0004
D,3311,0,noise,0.0007,U,0,0
D,3406,0,noise,0.0044,U,0,0
D,3501,0,noise,0.0044,U,0,0
D,3598,0,noise,0.0038,U,0,0
D,3694,0,noise,0.0029,U,0,0
D,3789,0,noise,0.0024,U,0,0
D,3885,0,noise,0.0019,U,0,0
D,3981,0,noise,0.0007,U,0,0
D,4075,0,noise,0.0008,U,0,0
D,4170,0,noise,0.0011,U,0,0
D,4266,0,noise,0.0011,U,0,0
D,4362,0,noise,0.0010,U,0,0
D,4458,0,noise,0.0009,U,0,0
D,4554,0,noise,0.0007,U,0,0
D,4651,0,noise,0.0006,U,0,0
D,4747,0,noise,0.0005,U,0,0
D,4842,0,noise,0.0005,U,0,0
D,4935,0,noise,0.0004,U,0,0
D,5031,0,noise,0.0004,U,0,0
D,5127,0,noise,0.0003,U,0,0
D,5223,0,noise,0.0002,U,0,0
D,5319,0,noise,0.0002,U,0,0
D,5415,0,noise,0.0003,S,0,0
D,5510,0,noise,0.0004,U,0,0
D,5606,0,noise,0.0005,U,0,0
D,5702,0,noise,0.0006,U,0,0
D,5796,0,noise,0.0007,U,0,0
D,5892,0,noise,0.0007,U,0,0
D,5988,0,noise,0.0008,U,0,0
D,6084,0,noise,0.0008,U,0,0
D,6180,0,noise,0.0008,U,0,0
D,6275,0,noise,0.0008,S,0,0
D,6372,0,noise,0.0008,S,0,0
D,6467,0,noise,0.0009,S,0,0
D,6563,0,noise,0.0010,U,0,0
D,6659,0,noise,0.0012,U,0,0
D,6753,0,noise,0.0012,U,0,0
D,6849,0,noise,0.0013,U,0,0
D,6944,0,noise,0.0013,U,0,0
D,7040,0,noise,0.0013,U,0,0
D,7136,0,noise,-0.0013,U,0,0
D,7231,0,noise,-0.0012,U,0,0
D,7327,0,noise,-0.0007,U,0,0
D,7423,0,noise,-0.0003,U,0,0
D,7519,0,noise,0.0002,U,0,0
