powder_id,trial,test,tilt,rep,rpm,halt_g,mode,m_trig,t_disp_s,m_settled2,flow_slope_g_per_s,trig_over_mg,afterflow_mg,tau_s,taps,verdict
salt,2,C6,40.0,1,55,0.30,rot,0.3146,3.01,0.4906,0.1238,14.6,176.0,1.422,10,ok
salt,3,C6,40.0,1,55,0.60,rot,0.6018,4.53,0.7611,0.1767,1.8,159.3,0.901,15,ok
salt,4,C6,55.0,1,55,0.60,rot,0.6000,4.25,0.8041,0.2042,0.0,204.1,1.000,14,ok
salt,5,C6,55.0,1,55,0.30,rot,0.3146,3.01,0.4805,0.1828,14.6,165.9,0.908,10,ok
salt,6,C6,70.0,1,55,0.30,rot,1.3990,6.69,1.5481,,1099.0,149.1,,2,ok
salt,7,C6,70.0,1,55,0.60,rot,0.6074,3.87,0.8161,0.1953,7.4,208.7,1.069,13,ok
salt,8,C6,70.0,2,55,0.60,rot,0.6016,4.73,0.7416,0.1502,1.6,140.0,0.932,16,ok
salt,9,C6,70.0,2,55,0.30,rot,0.3040,2.81,0.3841,0.1647,4.0,80.1,0.486,9,ok
salt,10,C6,55.0,2,55,0.30,rot,0.3151,3.20,0.4872,0.1737,15.1,172.1,0.991,11,ok
salt,11,C6,55.0,2,55,0.60,rot,0.6041,5.68,0.6528,0.1014,4.1,48.7,0.480,19,ok
salt,12,C6,40.0,2,55,0.60,rot,0.6216,6.83,0.6887,0.0994,21.6,67.1,0.675,23,ok
salt,13,C6,40.0,2,55,0.30,rot,0.3169,4.34,0.4231,0.1029,16.9,106.2,1.032,15,ok
salt,14,C6,40.0,3,55,0.30,rot,0.3027,4.73,0.3917,0.0785,2.7,89.0,1.134,16,ok
salt,15,C6,40.0,3,55,0.60,rot,0.6009,7.59,0.6113,0.0772,0.9,10.4,0.135,26,ok
salt,16,C6,55.0,3,55,0.60,rot,0.6047,6.77,0.6390,0.0729,4.7,34.3,0.471,23,ok
salt,17,C6,55.0,3,55,0.30,rot,0.3087,5.30,0.3509,0.0646,8.7,42.2,0.653,18,ok
salt,18,C6,70.0,3,55,0.30,rot,0.3124,9.22,0.3517,0.0496,12.4,39.3,0.792,31,ok
salt,19,C6,70.0,3,55,0.60,rot,0.6015,17.64,0.6458,0.0348,1.5,44.3,1.273,60,ok
salt,20,C6,70.0,4,55,0.60,rot,0.6033,15.15,0.6249,0.0805,3.3,21.6,0.268,52,ok
salt,21,C6,70.0,4,55,0.30,rot,0.3066,7.98,0.3304,0.0056,6.6,23.8,4.228,27,ok
salt,22,C6,55.0,4,55,0.30,rot,0.3049,7.69,0.3265,0.0655,4.9,21.6,0.330,26,ok
salt,23,C6,55.0,4,55,0.60,rot,0.6013,16.97,0.6229,0.0118,1.3,21.6,1.832,58,ok
salt,24,C6,40.0,4,55,0.60,rot,0.6040,15.05,0.6343,0.0568,4.0,30.3,0.534,52,ok
salt,25,C6,40.0,4,55,0.30,rot,0.3050,10.37,0.3336,0.0352,5.0,28.6,0.812,36,ok
salt,26,C6,40.0,5,55,1.00,rot,1.0024,24.23,1.0344,0.0608,2.4,32.0,0.527,84,ok
salt,27,C6,55.0,5,55,1.00,rot,1.0001,23.56,1.0152,0.0519,0.1,15.1,0.291,82,ok
salt,28,C6,70.0,5,55,1.00,rot,1.0050,24.04,1.0325,0.0412,5.0,27.5,0.668,82,ok
salt,29,C7,55.0,1,15,0.50,auger,0.5017,33.61,0.5120,0.0247,1.7,10.3,0.417,0,ok
salt,30,C7,55.0,1,30,0.50,auger,0.5026,28.63,0.5217,0.0335,2.6,19.1,0.570,0,ok
salt,31,C7,55.0,1,55,0.50,auger,0.5001,16.59,0.5220,0.0264,0.1,21.9,0.831,0,ok
salt,32,C7,55.0,1,75,0.50,auger,0.5049,10.94,0.5145,0.0451,4.9,9.6,0.213,0,ok
salt,33,C7,55.0,2,75,0.50,auger,0.5088,8.07,0.5672,0.0742,8.8,58.4,0.787,0,ok
salt,34,C7,55.0,2,55,0.50,auger,0.5016,8.84,0.5416,0.0718,1.6,40.0,0.557,0,ok
salt,35,C7,55.0,2,30,0.50,auger,0.5016,16.10,0.5466,0.0197,1.6,45.0,2.281,0,ok
salt,36,C7,55.0,2,15,0.50,auger,0.5005,27.77,0.5239,0.0281,0.5,23.4,0.832,0,ok
salt,37,C7,55.0,3,15,0.50,auger,0.5020,27.49,0.5335,0.0181,2.0,31.5,1.738,0,ok
salt,38,C7,55.0,3,30,0.50,auger,0.5002,15.53,0.5165,0.0531,0.2,16.3,0.307,0,ok
salt,39,C7,55.0,3,55,0.50,auger,0.5074,9.12,0.5299,0.0601,7.4,22.5,0.374,0,ok
salt,40,C7,55.0,3,75,0.50,auger,0.5029,7.50,0.5427,0.0763,2.9,39.8,0.521,0,ok
salt,41,C8,55.0,1,55,0.50,auger,0.5100,8.74,0.5475,0.0482,10.0,37.5,0.778,0,ok
salt,42,C8,55.0,1,55,0.50,rot,0.5131,8.36,0.5176,0.0727,13.1,4.5,0.062,29,ok
salt,43,C8,55.0,2,55,0.50,rot,0.5058,7.98,0.4992,0.0550,5.8,-6.6,-0.120,27,ok
salt,44,C8,55.0,2,55,0.50,auger,0.5001,11.32,0.4860,0.0477,0.1,-14.1,-0.296,0,ok
salt,45,C8,55.0,3,55,0.50,auger,0.5052,11.52,0.4731,0.0419,5.2,-32.1,-0.767,0,ok
salt,46,C8,55.0,3,55,0.50,rot,0.5004,10.08,0.4936,0.0511,0.4,-6.8,-0.133,35,ok
salt,47,C8,55.0,4,55,0.50,rot,0.5018,10.56,0.4980,0.0446,1.8,-3.8,-0.085,36,ok
salt,48,C8,55.0,4,55,0.50,auger,0.5038,11.52,0.4887,0.0494,3.8,-15.1,-0.306,0,ok
