M,script,balance_stream
M,duration_s,70.0
M,poll_ms,60
M,output_file,balance_capture_2g_10d.csv
P,353,pretare,-0.0011
E,858,tared
P,9146,tare0,0.7214
E,9151,streaming for 70.0 s -- raw frames follow
D,9246,0.0179,U
D,9428,0.0001,U
D,9524,-0.0002,U
D,9716,0.0007,U
D,9812,0.0095,U
D,9908,0.0505,U
D,10001,0.1767,U
D,10097,0.4474,U
D,10193,0.8619,U
D,10395,1.6870,U
D,10577,1.9794,U
D,10672,2.0009,U
D,10768,2.0036,U
D,10862,2.0032,U
D,10958,2.0028,U
D,11154,2.0026,U
D,11246,2.0026,U
D,11342,2.0026,U
D,11437,2.0026,U
D,11629,2.0027,S
D,11820,2.0029,U
D,12010,2.0099,U
D,12202,2.1354,U
D,12394,2.5428,U
D,12595,2.1874,U
D,12782,0.7762,U
D,12968,0.0869,U
D,13158,0.1337,U
D,13350,0.7643,U
D,13541,1.6484,U
D,13732,1.9895,U
D,13923,2.0074,U
D,14223,2.0028,U
D,14411,2.0028,U
D,14598,2.0028,U
D,14788,2.0028,S
D,14976,2.0028,S
D,15168,2.0029,S
D,15357,2.0034,U
D,15549,2.1113,U
D,15740,2.4033,U
D,15932,1.9032,U
D,16126,0.6054,U
D,16317,0.0559,U
D,16609,0.0011,U
D,16801,0.0009,U
D,16984,0.0008,U
D,17174,0.0008,U
D,17366,0.0009,S
D,17563,0.0009,S
D,17753,0.0013,U
D,17941,0.0880,U
D,18137,0.6265,U
D,18325,1.5550,U
D,18517,1.9936,U
D,18707,2.0181,U
D,18993,2.0023,U
D,19183,2.0018,U
E,19228,progress: 60 s remaining
D,19378,2.0017,U
D,19571,2.0017,S
D,19762,2.0018,S
D,19954,2.0019,U
D,20144,2.0020,U
D,20334,2.0021,U
D,20523,2.0414,U
D,20717,2.3304,U
D,20907,2.5427,U
D,21196,0.7638,U
D,21385,0.0819,U
D,21576,0.0026,U
D,21766,0.0011,U
D,21961,0.0009,U
D,22153,0.0008,U
D,22344,0.0008,U
D,22534,0.0007,U
D,22731,0.0010,U
D,22913,0.0917,U
D,23107,0.6280,U
D,23301,1.5298,U
D,23585,2.0014,U
D,23776,2.0049,U
D,23968,2.0030,U
D,24161,2.0028,U
D,24352,2.0028,U
D,24543,2.0029,S
D,24735,2.0030,U
D,24930,2.0029,S
D,25120,2.0025,U
D,25312,2.0024,U
D,25495,2.0602,U
D,25689,2.2435,U
D,25982,2.1744,U
D,26175,2.3101,U
D,26355,2.7622,U
D,26548,2.2516,U
D,26740,0.7536,U
D,26940,0.0741,U
D,27120,0.0014,U
D,27316,0.0024,U
D,27510,0.0015,U
D,27702,-0.0003,U
D,27897,-0.0004,U
D,28077,-0.0003,U
D,28364,-0.0001,U
D,28559,0.0147,U
D,28753,0.2235,U
D,28937,0.9779,U
D,29134,1.7714,U
D,29329,1.9987,U
E,29375,progress: 50 s remaining
D,29512,2.0040,U
D,29708,2.0019,U
D,29904,2.0021,U
D,30085,2.0019,U
D,30282,2.0021,U
D,30563,2.0026,U
D,30757,2.0027,U
D,30957,2.0027,U
D,31138,2.0032,U
D,31332,2.1205,U
D,31530,2.8681,U
D,31711,4.3955,U
D,31907,4.5091,U
D,32103,1.9795,U
D,32284,0.2705,U
D,32479,0.0074,U
D,32675,0.0000,U
D,32966,-0.0002,U
D,33144,-0.0005,U
D,33341,-0.0004,U
D,33528,0.0216,U
D,33726,0.2905,U
D,33921,1.1231,U
D,34101,1.8553,U
D,34297,2.0124,U
D,34493,2.0059,U
D,34676,2.0026,U
D,34871,2.0023,U
D,35068,2.0024,U
D,35345,2.0024,S
D,35544,2.0024,S
D,35728,2.0024,S
D,35927,2.0026,U
D,36110,2.0122,U
D,36309,2.2384,U
D,36493,3.3043,U
D,36690,3.7250,U
D,36875,1.6904,U
D,37074,0.2322,U
D,37258,0.0063,U
D,37455,-0.0005,U
D,37745,-0.0001,U
