powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms
brown-rice-flour,A,45.0,baseline,0,,,0.0,0.0,0.0,,7540
brown-rice-flour,A,45.0,baseline,1,,,0.0,0.0,0.0,,9635
brown-rice-flour,A,45.0,baseline,2,,,0.0,0.0,0.0,,11750
brown-rice-flour,A,45.0,baseline,3,,,0.0,0.0,0.0,,13844
brown-rice-flour,A,45.0,baseline,4,,,0.0,0.0,0.0,,15959
brown-rice-flour,A,45.0,baseline,5,,,0.0,0.0,0.0,,18053
brown-rice-flour,A,45.0,baseline,6,,,0.0,0.0,0.0,,20154
brown-rice-flour,A,45.0,baseline,7,,,0.0,0.0,0.0,,22269
brown-rice-flour,B,0.0,hold,0,15,,0.0,0.0,0.0,,42726
brown-rice-flour,B,45.0,hold,0,15,,0.0,0.0,0.0,,63191
brown-rice-flour,B,90.0,hold,0,15,,0.0,0.0,0.0,,83656
brown-rice-flour,C,0.0,rotation,0,360.0,30.0,0.0,0.0,0.0,lowflow,96087
brown-rice-flour,C,0.0,rotation,1,360.0,30.0,0.0,0.0004,0.0004,lowflow,102876
brown-rice-flour,C,0.0,rotation,2,360.0,30.0,0.0004,0.0012,0.0008,,112153
brown-rice-flour,C,0.0,rotation,3,360.0,30.0,0.0012,0.0012,0.0,lowflow,119516
brown-rice-flour,C,0.0,rotation,4,360.0,30.0,0.0012,0.0012,0.0,lowflow,125924
brown-rice-flour,C,0.0,rotation,5,360.0,30.0,0.0011,0.0012,0.0001,lowflow,132522
brown-rice-flour,C,45.0,rotation,0,360.0,30.0,0.0,0.0006,0.0006,,144193
brown-rice-flour,C,45.0,rotation,1,360.0,30.0,0.0006,0.0006,0.0,lowflow,150601
brown-rice-flour,C,45.0,rotation,2,360.0,30.0,0.0006,0.0007,0.0001,lowflow,157007
brown-rice-flour,C,45.0,rotation,3,360.0,30.0,0.0007,0.001,0.0003,lowflow,163415
brown-rice-flour,C,45.0,rotation,4,360.0,30.0,0.001,0.0012,0.0002,lowflow,169821
brown-rice-flour,C,45.0,rotation,5,360.0,30.0,0.0012,0.0012,0.0,,176231
brown-rice-flour,C,90.0,rotation,0,360.0,30.0,0.0,0.0,0.0,lowflow,187893
brown-rice-flour,C,90.0,rotation,1,360.0,30.0,0.0,0.0,0.0,lowflow,194301
brown-rice-flour,C,90.0,rotation,2,360.0,30.0,0.0,0.0,0.0,lowflow,200709
brown-rice-flour,C,90.0,rotation,3,360.0,30.0,0.0,0.0007,0.0007,,207117
brown-rice-flour,C,90.0,rotation,4,360.0,30.0,0.0007,0.0007,0.0,lowflow,213523
brown-rice-flour,C,90.0,rotation,5,360.0,30.0,0.0007,0.0006,-0.0001,lowflow,219931
brown-rice-flour,D,45.0,speed,0,3.0,15.0,0.0,0.0,0.0,,241169
brown-rice-flour,D,45.0,speed,1,3.0,45.0,0.0,0.0,0.0,,248044
brown-rice-flour,D,45.0,speed,2,3.0,90.0,0.0,0.0018,0.0018,,253303
brown-rice-flour,E,0.0,refeed,0,360.0,30.0,0.0,0.0,0.0,lowflow,264976
brown-rice-flour,E,0.0,tap,0,1,,0.0,0.0,0.0,,267372
brown-rice-flour,E,0.0,refeed,1,360.0,30.0,0.0,0.0,0.0,lowflow,273777
brown-rice-flour,E,0.0,tap,1,1,,0.0,0.0,0.0,,276160
brown-rice-flour,E,0.0,refeed,2,360.0,30.0,0.0,0.0,0.0,lowflow,282566
brown-rice-flour,E,0.0,tap,2,1,,0.0,0.0,0.0,,284962
brown-rice-flour,E,0.0,refeed,3,360.0,30.0,0.0,0.0,0.0,lowflow,291368
brown-rice-flour,E,0.0,tap,3,1,,0.0,0.0,0.0,,293767
brown-rice-flour,E,0.0,refeed,4,360.0,30.0,0.0,0.0,0.0,,300171
brown-rice-flour,E,0.0,tap,4,1,,0.0,0.0,0.0,,302553
brown-rice-flour,E,0.0,refeed,5,360.0,30.0,0.0,0.0001,0.0001,,308962
brown-rice-flour,E,0.0,tap,5,1,,0.0001,0.0,-0.0001,,311358
brown-rice-flour,E,0.0,refeed,6,360.0,30.0,0.0,0.0,0.0,,317763
brown-rice-flour,E,0.0,tap,6,1,,0.0,0.0,0.0,,320159
brown-rice-flour,E,0.0,refeed,7,360.0,30.0,0.0,0.0,0.0,,326564
brown-rice-flour,E,0.0,tap,7,1,,0.0,0.0,0.0,,328947
brown-rice-flour,E,45.0,refeed,0,360.0,30.0,0.0,0.0006,0.0006,,340618
brown-rice-flour,E,45.0,tap,0,1,,0.0006,0.0006,0.0,,343014
brown-rice-flour,E,45.0,refeed,1,360.0,30.0,0.0006,0.0009,0.0003,lowflow,349421
brown-rice-flour,E,45.0,tap,1,1,,0.0009,0.0009,0.0,,351805
brown-rice-flour,E,45.0,refeed,2,360.0,30.0,0.0009,0.0011,0.0002,lowflow,358212
brown-rice-flour,E,45.0,tap,2,1,,0.0011,0.0011,0.0,,360609
brown-rice-flour,E,45.0,refeed,3,360.0,30.0,0.0011,0.0018,0.0007,,367014
brown-rice-flour,E,45.0,tap,3,1,,0.0018,0.0019,0.0001,,370740
brown-rice-flour,E,45.0,refeed,4,360.0,30.0,0.0019,0.0021,0.0002,lowflow,377147
brown-rice-flour,E,45.0,tap,4,1,,0.0021,0.0022,0.0001,,379545
brown-rice-flour,E,45.0,refeed,5,360.0,30.0,0.0022,0.0024,0.0002,lowflow,385951
brown-rice-flour,E,45.0,tap,5,1,,0.0024,0.0024,0.0,,388348
brown-rice-flour,E,45.0,refeed,6,360.0,30.0,0.0024,0.0023,-0.0001,lowflow,394743
brown-rice-flour,E,45.0,tap,6,1,,0.0023,0.0023,0.0,,397140
brown-rice-flour,E,45.0,refeed,7,360.0,30.0,0.0023,0.0024,0.0001,lowflow,403544
brown-rice-flour,E,45.0,tap,7,1,,0.0024,0.0024,0.0,,405932
