powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms
white-rice-flour,A,45.0,baseline,0,,,0.0,0.0,0.0,,7532
white-rice-flour,A,45.0,baseline,1,,,0.0,0.0,0.0,,9626
white-rice-flour,A,45.0,baseline,2,,,0.0,0.0,0.0,,11728
white-rice-flour,A,45.0,baseline,3,,,0.0,0.0,0.0,,13843
white-rice-flour,A,45.0,baseline,4,,,0.0,0.0,0.0,,15938
white-rice-flour,A,45.0,baseline,5,,,0.0,0.0,0.0,,18040
white-rice-flour,A,45.0,baseline,6,,,0.0,0.0,0.0,,20155
white-rice-flour,A,45.0,baseline,7,,,0.0,0.0,0.0,,22249
white-rice-flour,B,0.0,hold,0,15,,0.0,0.0,0.0,,42723
white-rice-flour,B,45.0,hold,0,15,,0.0,0.0,0.0,,63187
white-rice-flour,B,90.0,hold,0,15,,0.0,0.0,0.0,,83651
white-rice-flour,C,0.0,rotation,0,360.0,30.0,0.0,0.0051,0.0051,,96077
white-rice-flour,C,0.0,rotation,1,360.0,30.0,0.0051,0.009,0.0039,,102485
white-rice-flour,C,0.0,rotation,2,360.0,30.0,0.009,0.0127,0.0037,,108893
white-rice-flour,C,0.0,rotation,3,360.0,30.0,0.0127,0.0167,0.004,,115301
white-rice-flour,C,0.0,rotation,4,360.0,30.0,0.0167,0.0197,0.003,,121707
white-rice-flour,C,0.0,rotation,5,360.0,30.0,0.0197,0.0225,0.0028,,128114
white-rice-flour,C,45.0,rotation,0,360.0,30.0,0.0,0.0113,0.0113,,139789
white-rice-flour,C,45.0,rotation,1,360.0,30.0,0.0113,0.0203,0.009,,146194
white-rice-flour,C,45.0,rotation,2,360.0,30.0,0.0203,0.0285,0.0082,,152601
white-rice-flour,C,45.0,rotation,3,360.0,30.0,0.0285,0.0392,0.0107,,159007
white-rice-flour,C,45.0,rotation,4,360.0,30.0,0.0392,0.057,0.0178,,165411
white-rice-flour,C,45.0,rotation,5,360.0,30.0,0.0569,0.0766,0.0197,,171817
white-rice-flour,C,90.0,rotation,0,360.0,30.0,0.0,0.0632,0.0632,,184438
white-rice-flour,C,90.0,rotation,1,360.0,30.0,0.0632,0.0874,0.0242,,190846
white-rice-flour,C,90.0,rotation,2,360.0,30.0,0.0874,0.1195,0.0321,,197254
white-rice-flour,C,90.0,rotation,3,360.0,30.0,0.1195,0.1668,0.0473,,203661
white-rice-flour,C,90.0,rotation,4,360.0,30.0,0.1668,0.2063,0.0395,,210070
white-rice-flour,C,90.0,rotation,5,360.0,30.0,0.2063,0.2229,0.0166,,216476
white-rice-flour,D,45.0,speed,0,3.0,15.0,0.0,0.0572,0.0572,,238757
white-rice-flour,D,45.0,speed,1,3.0,45.0,0.0572,0.1295,0.0723,,245558
white-rice-flour,D,45.0,speed,2,3.0,90.0,0.1295,0.2406,0.1111,,250148
white-rice-flour,E,0.0,refeed,0,360.0,30.0,0.0,0.0029,0.0029,,261805
white-rice-flour,E,0.0,tap,0,1,,0.0029,0.0029,0.0,,264202
white-rice-flour,E,0.0,refeed,1,360.0,30.0,0.0029,0.0063,0.0034,,270607
white-rice-flour,E,0.0,tap,1,1,,0.0063,0.0063,0.0,,273004
white-rice-flour,E,0.0,refeed,2,360.0,30.0,0.0063,0.0091,0.0028,,279410
white-rice-flour,E,0.0,tap,2,1,,0.0091,0.009,-0.0001,,281799
white-rice-flour,E,0.0,refeed,3,360.0,30.0,0.009,0.0118,0.0028,,288205
white-rice-flour,E,0.0,tap,3,1,,0.0117,0.0118,0.0001,,290590
