powder_id,block,tilt_deg,rpm,t_ms,grams,stable
sodium-alginate,D,45.0,15.0,221187,0.0,1
sodium-alginate,D,45.0,15.0,221475,0.0,1
sodium-alginate,D,45.0,15.0,221762,0.0,1
sodium-alginate,D,45.0,15.0,222048,0.0,1
sodium-alginate,D,45.0,15.0,222335,0.0,1
sodium-alginate,D,45.0,15.0,222623,0.0,1
sodium-alginate,D,45.0,15.0,222908,0.0005,0
sodium-alginate,D,45.0,15.0,223195,0.0007,0
sodium-alginate,D,45.0,15.0,223483,0.001,0
sodium-alginate,D,45.0,15.0,223768,0.0014,0
sodium-alginate,D,45.0,15.0,224056,0.0019,0
sodium-alginate,D,45.0,15.0,224343,0.0027,0
sodium-alginate,D,45.0,15.0,224629,0.0034,0
sodium-alginate,D,45.0,15.0,224917,0.0043,0
sodium-alginate,D,45.0,15.0,225204,0.0051,0
sodium-alginate,D,45.0,15.0,225490,0.0061,0
sodium-alginate,D,45.0,15.0,225777,0.007,0
sodium-alginate,D,45.0,15.0,226064,0.0077,0
sodium-alginate,D,45.0,15.0,226352,0.0083,0
sodium-alginate,D,45.0,15.0,226638,0.009,0
sodium-alginate,D,45.0,15.0,226925,0.0095,0
sodium-alginate,D,45.0,15.0,227213,0.01,0
sodium-alginate,D,45.0,15.0,227498,0.0104,0
sodium-alginate,D,45.0,15.0,227786,0.0109,0
sodium-alginate,D,45.0,15.0,228073,0.015,0
sodium-alginate,D,45.0,15.0,228359,0.015,0
sodium-alginate,D,45.0,15.0,228647,0.0151,1
sodium-alginate,D,45.0,15.0,228934,0.0155,0
sodium-alginate,D,45.0,15.0,229219,0.016,0
sodium-alginate,D,45.0,15.0,229508,0.0164,0
sodium-alginate,D,45.0,15.0,229795,0.0168,0
sodium-alginate,D,45.0,15.0,230080,0.0172,0
sodium-alginate,D,45.0,15.0,230368,0.0178,0
sodium-alginate,D,45.0,15.0,230656,0.0184,0
sodium-alginate,D,45.0,15.0,230941,0.019,0
sodium-alginate,D,45.0,15.0,231228,0.0194,0
sodium-alginate,D,45.0,15.0,231612,0.0201,0
sodium-alginate,D,45.0,15.0,231897,0.0249,0
sodium-alginate,D,45.0,15.0,232184,0.0256,0
sodium-alginate,D,45.0,15.0,232472,0.0256,1
sodium-alginate,D,45.0,15.0,232758,0.0259,0
sodium-alginate,D,45.0,15.0,233045,0.0262,0
sodium-alginate,D,45.0,15.0,233333,0.0266,0
sodium-alginate,D,45.0,15.0,233618,0.0269,0
sodium-alginate,D,45.0,15.0,233906,0.0272,0
sodium-alginate,D,45.0,15.0,234193,0.0276,0
sodium-alginate,D,45.0,15.0,234479,0.0282,0
sodium-alginate,D,45.0,15.0,234766,0.0287,0
sodium-alginate,D,45.0,45.0,238019,0.0333,1
sodium-alginate,D,45.0,45.0,238306,0.0333,1
sodium-alginate,D,45.0,45.0,238594,0.0334,1
sodium-alginate,D,45.0,45.0,238877,0.0369,0
sodium-alginate,D,45.0,45.0,239165,0.0376,0
sodium-alginate,D,45.0,45.0,239453,0.0381,0
sodium-alginate,D,45.0,45.0,239739,0.0415,0
sodium-alginate,D,45.0,45.0,240026,0.0451,0
sodium-alginate,D,45.0,45.0,240313,0.0478,0
sodium-alginate,D,45.0,45.0,240599,0.0488,0
sodium-alginate,D,45.0,45.0,240886,0.0496,0
sodium-alginate,D,45.0,45.0,241174,0.0504,0
sodium-alginate,D,45.0,45.0,241461,0.0555,0
sodium-alginate,D,45.0,45.0,241747,0.0571,0
sodium-alginate,D,45.0,45.0,242035,0.0584,0
sodium-alginate,D,45.0,45.0,242322,0.0593,0
sodium-alginate,D,45.0,90.0,244808,0.068,1
sodium-alginate,D,45.0,90.0,245094,0.068,1
sodium-alginate,D,45.0,90.0,245381,0.068,1
sodium-alginate,D,45.0,90.0,245669,0.0681,1
sodium-alginate,D,45.0,90.0,245954,0.0756,0
sodium-alginate,D,45.0,90.0,246242,0.0815,0
sodium-alginate,D,45.0,90.0,246529,0.0863,0
sodium-alginate,D,45.0,90.0,246815,0.0922,0
