powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms
sodium-alginate,A,45.0,baseline,0,,,0.0,0.0,0.0,,7465
sodium-alginate,A,45.0,baseline,1,,,0.0,0.0,0.0,,9559
sodium-alginate,A,45.0,baseline,2,,,0.0,0.0,0.0,,11662
sodium-alginate,A,45.0,baseline,3,,,0.0,0.0,0.0,,13777
sodium-alginate,A,45.0,baseline,4,,,0.0,0.0,0.0,,15871
sodium-alginate,A,45.0,baseline,5,,,0.0,0.0,0.0,,17974
sodium-alginate,A,45.0,baseline,6,,,0.0,0.0,0.0,,20089
sodium-alginate,A,45.0,baseline,7,,,0.0,0.0,0.0,,22183
sodium-alginate,B,0.0,hold,0,15,,0.0,0.0,0.0,,42657
sodium-alginate,B,45.0,hold,0,15,,0.0,0.0,0.0,,63121
sodium-alginate,B,90.0,hold,0,15,,0.0,0.0,0.0,,83584
sodium-alginate,C,0.0,rotation,0,360.0,30.0,0.0,0.0,0.0,lowflow,96008
sodium-alginate,C,0.0,rotation,1,360.0,30.0,0.0,0.001,0.001,,102416
sodium-alginate,C,0.0,rotation,2,360.0,30.0,0.001,0.002,0.001,,108825
sodium-alginate,C,0.0,rotation,3,360.0,30.0,0.002,0.0028,0.0008,,115232
sodium-alginate,C,0.0,rotation,4,360.0,30.0,0.0028,0.003,0.0002,lowflow,121640
sodium-alginate,C,0.0,rotation,5,360.0,30.0,0.003,0.0045,0.0015,,128046
sodium-alginate,C,45.0,rotation,0,360.0,30.0,0.0,0.0094,0.0094,,139721
sodium-alginate,C,45.0,rotation,1,360.0,30.0,0.0094,0.0204,0.011,,146127
sodium-alginate,C,45.0,rotation,2,360.0,30.0,0.0204,0.03,0.0096,,152533
sodium-alginate,C,45.0,rotation,3,360.0,30.0,0.03,0.0396,0.0096,,158939
sodium-alginate,C,45.0,rotation,4,360.0,30.0,0.0396,0.0484,0.0088,,165345
sodium-alginate,C,45.0,rotation,5,360.0,30.0,0.0484,0.0575,0.0091,,171753
sodium-alginate,C,90.0,rotation,0,360.0,30.0,0.0,0.0115,0.0115,,183419
sodium-alginate,C,90.0,rotation,1,360.0,30.0,0.0115,0.0227,0.0112,,189827
sodium-alginate,C,90.0,rotation,2,360.0,30.0,0.0227,0.0312,0.0085,,196234
sodium-alginate,C,90.0,rotation,3,360.0,30.0,0.0312,0.0406,0.0094,,202641
sodium-alginate,C,90.0,rotation,4,360.0,30.0,0.0406,0.0501,0.0095,,209050
sodium-alginate,C,90.0,rotation,5,360.0,30.0,0.0501,0.0652,0.0151,,215456
sodium-alginate,D,45.0,speed,0,3.0,15.0,0.0,0.0332,0.0332,,237644
sodium-alginate,D,45.0,speed,1,3.0,45.0,0.0333,0.0681,0.0348,,244427
sodium-alginate,D,45.0,speed,2,3.0,90.0,0.068,0.1069,0.0389,,248933
sodium-alginate,E,0.0,refeed,0,360.0,30.0,0.0,0.0,0.0,lowflow,260588
sodium-alginate,E,0.0,tap,0,1,,0.0,0.0,0.0,,262985
sodium-alginate,E,0.0,refeed,1,360.0,30.0,0.0,0.0017,0.0017,,269390
sodium-alginate,E,0.0,tap,1,1,,0.0017,0.0017,0.0,,271787
sodium-alginate,E,0.0,refeed,2,360.0,30.0,0.0017,0.0033,0.0016,,278194
sodium-alginate,E,0.0,tap,2,1,,0.0033,0.0033,0.0,,280576
sodium-alginate,E,0.0,refeed,3,360.0,30.0,0.0033,0.0047,0.0014,,286995
sodium-alginate,E,0.0,tap,3,1,,0.0047,0.0047,0.0,,289380
sodium-alginate,E,0.0,refeed,4,360.0,30.0,0.0047,0.0067,0.002,,295786
sodium-alginate,E,0.0,tap,4,1,,0.0067,0.0067,0.0,,298183
sodium-alginate,E,0.0,refeed,5,360.0,30.0,0.0067,0.008,0.0013,,304590
sodium-alginate,E,0.0,tap,5,1,,0.008,0.008,0.0,,306971
sodium-alginate,E,0.0,refeed,6,360.0,30.0,0.008,0.0105,0.0025,,313377
sodium-alginate,E,0.0,tap,6,1,,0.0105,0.0105,0.0,,315774
sodium-alginate,E,0.0,refeed,7,360.0,30.0,0.0105,0.0119,0.0014,,322180
sodium-alginate,E,0.0,tap,7,1,,0.0119,0.0119,0.0,,324577
sodium-alginate,E,45.0,refeed,0,360.0,30.0,0.0,0.0118,0.0118,,336234
sodium-alginate,E,45.0,tap,0,1,,0.0118,0.0119,0.0001,,338631
sodium-alginate,E,45.0,refeed,1,360.0,30.0,0.0119,0.0224,0.0105,,345039
sodium-alginate,E,45.0,tap,1,1,,0.0224,0.0224,0.0,,347422
sodium-alginate,E,45.0,refeed,2,360.0,30.0,0.0224,0.0322,0.0098,,353830
sodium-alginate,E,45.0,tap,2,1,,0.0322,0.0322,0.0,,356227
sodium-alginate,E,45.0,refeed,3,360.0,30.0,0.0323,0.0432,0.0109,,362633
sodium-alginate,E,45.0,tap,3,1,,0.0432,0.0433,0.0001,,365029
sodium-alginate,E,45.0,refeed,4,360.0,30.0,0.0433,0.053,0.0097,,371428
sodium-alginate,E,45.0,tap,4,1,,0.053,0.0537,0.0007,,374395
sodium-alginate,E,45.0,refeed,5,360.0,30.0,0.0537,0.0636,0.0099,,380802
sodium-alginate,E,45.0,tap,5,1,,0.0636,0.0637,0.0001,,383198
sodium-alginate,E,45.0,refeed,6,360.0,30.0,0.0637,0.0745,0.0108,,389604
sodium-alginate,E,45.0,tap,6,1,,0.0745,0.0746,0.0001,,391986
sodium-alginate,E,45.0,refeed,7,360.0,30.0,0.0746,0.084,0.0094,,398394
sodium-alginate,E,45.0,tap,7,1,,0.084,0.0848,0.0008,,401360
