powder_id,block,tilt_deg,rpm,t_ms,grams,stable
calcium-lactate,D,45.0,15.0,222551,0.0,1
calcium-lactate,D,45.0,15.0,222923,0.0,1
calcium-lactate,D,45.0,15.0,223209,0.0,1
calcium-lactate,D,45.0,15.0,223496,0.0,1
calcium-lactate,D,45.0,15.0,223783,0.006,0
calcium-lactate,D,45.0,15.0,224069,0.0111,0
calcium-lactate,D,45.0,15.0,224357,0.0239,0
calcium-lactate,D,45.0,15.0,224643,0.0374,0
calcium-lactate,D,45.0,15.0,224929,0.0452,0
calcium-lactate,D,45.0,15.0,225216,0.0493,0
calcium-lactate,D,45.0,15.0,225505,0.0522,0
calcium-lactate,D,45.0,15.0,225789,0.053,0
calcium-lactate,D,45.0,15.0,226077,0.053,0
calcium-lactate,D,45.0,15.0,226365,0.0533,0
calcium-lactate,D,45.0,15.0,226650,0.0624,0
calcium-lactate,D,45.0,15.0,226937,0.082,0
calcium-lactate,D,45.0,15.0,227225,0.1092,0
calcium-lactate,D,45.0,15.0,227511,0.1433,0
calcium-lactate,D,45.0,15.0,227798,0.1706,0
calcium-lactate,D,45.0,15.0,228086,0.1868,0
calcium-lactate,D,45.0,15.0,228372,0.2023,0
calcium-lactate,D,45.0,15.0,228660,0.2133,0
calcium-lactate,D,45.0,15.0,228947,0.2195,0
calcium-lactate,D,45.0,15.0,229233,0.2226,0
calcium-lactate,D,45.0,15.0,229520,0.2239,0
calcium-lactate,D,45.0,15.0,229808,0.2241,0
calcium-lactate,D,45.0,15.0,230102,0.2244,0
calcium-lactate,D,45.0,15.0,230383,0.2305,0
calcium-lactate,D,45.0,15.0,230669,0.2428,0
calcium-lactate,D,45.0,15.0,230954,0.2641,0
calcium-lactate,D,45.0,15.0,231240,0.2934,0
calcium-lactate,D,45.0,15.0,231528,0.3269,0
calcium-lactate,D,45.0,15.0,231816,0.3504,0
calcium-lactate,D,45.0,15.0,232102,0.3652,0
calcium-lactate,D,45.0,15.0,232389,0.3792,0
calcium-lactate,D,45.0,15.0,232676,0.3904,0
calcium-lactate,D,45.0,15.0,232962,0.3968,0
calcium-lactate,D,45.0,15.0,233249,0.3999,0
calcium-lactate,D,45.0,15.0,233537,0.4013,0
calcium-lactate,D,45.0,15.0,233822,0.4017,0
calcium-lactate,D,45.0,15.0,234110,0.4019,0
calcium-lactate,D,45.0,15.0,234398,0.4069,0
calcium-lactate,D,45.0,15.0,234683,0.42,0
calcium-lactate,D,45.0,15.0,234971,0.442,0
calcium-lactate,D,45.0,15.0,235259,0.4723,0
calcium-lactate,D,45.0,15.0,235544,0.5047,0
calcium-lactate,D,45.0,15.0,235831,0.5263,0
calcium-lactate,D,45.0,15.0,236119,0.5412,0
calcium-lactate,D,45.0,45.0,238605,0.5713,1
calcium-lactate,D,45.0,45.0,238893,0.5713,1
calcium-lactate,D,45.0,45.0,239178,0.5713,1
calcium-lactate,D,45.0,45.0,239465,0.5752,0
calcium-lactate,D,45.0,45.0,239753,0.5825,0
calcium-lactate,D,45.0,45.0,240038,0.6129,0
calcium-lactate,D,45.0,45.0,240326,0.664,0
calcium-lactate,D,45.0,45.0,240613,0.6951,0
calcium-lactate,D,45.0,45.0,240899,0.7024,0
calcium-lactate,D,45.0,45.0,241187,0.7132,0
calcium-lactate,D,45.0,45.0,241474,0.7591,0
calcium-lactate,D,45.0,45.0,241760,0.8077,0
calcium-lactate,D,45.0,45.0,242047,0.8279,0
calcium-lactate,D,45.0,45.0,242336,0.8323,0
calcium-lactate,D,45.0,45.0,242620,0.8563,0
calcium-lactate,D,45.0,45.0,242909,0.9113,0
calcium-lactate,D,45.0,90.0,247690,1.0217,1
calcium-lactate,D,45.0,90.0,247977,1.0217,1
calcium-lactate,D,45.0,90.0,248265,1.022,0
calcium-lactate,D,45.0,90.0,248551,1.0534,0
calcium-lactate,D,45.0,90.0,248837,1.1109,0
calcium-lactate,D,45.0,90.0,249124,1.1407,0
calcium-lactate,D,45.0,90.0,249412,1.1961,0
calcium-lactate,D,45.0,90.0,249697,1.2404,0
