powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
calcium-lactate,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
calcium-lactate,B,0.0,hold,1,0.0,,,0.0,0.0,
calcium-lactate,B,45.0,hold,1,0.0,,,0.0,0.0,
calcium-lactate,B,90.0,hold,1,0.0,,,0.0,0.0,
calcium-lactate,C,0.0,rotation,6,0.04731666666666667,0.01102568214065083,0.004501215885118647,0.0259,0.0544,23.30189955755723
calcium-lactate,C,45.0,rotation,6,0.19828333333333334,0.004447658560036584,0.0018157490037019022,0.1929,0.2041,2.243082403985837
calcium-lactate,C,90.0,rotation,6,0.23224999999999998,0.0067140896627912285,0.0027410156268556137,0.2268,0.2436,2.8908889829025743
calcium-lactate,D,45.0,speed,3,0.46913333333333335,0.09424183430586087,0.05441054840541289,0.3856,0.5713,20.088496725705742
calcium-lactate,E,0.0,refeed,8,0.042325,0.003987749096563479,0.001409882213925282,0.0328,0.045,9.421734427793217
calcium-lactate,E,0.0,tap,8,0.0023125,0.0003181980515339464,0.0001125,0.0019,0.0026,13.759915742008491
calcium-lactate,E,45.0,refeed,8,0.1655,0.010367256146155551,0.0036653785616222513,0.1545,0.186,6.2642031094595465
calcium-lactate,E,45.0,tap,8,0.0203625,0.0028192894241533374,0.0009967693349731707,0.0149,0.0229,13.845497478960528
