powder_id,block,tilt_deg,rpm,t_ms,grams,stable
carboxymethyl-cellulose,D,45.0,15.0,221101,0.0,1
carboxymethyl-cellulose,D,45.0,15.0,221386,0.0,1
carboxymethyl-cellulose,D,45.0,15.0,221673,0.0,1
carboxymethyl-cellulose,D,45.0,15.0,221959,0.0,1
carboxymethyl-cellulose,D,45.0,15.0,222247,0.0,1
carboxymethyl-cellulose,D,45.0,15.0,222534,0.0,1
carboxymethyl-cellulose,D,45.0,15.0,222828,0.0,1
carboxymethyl-cellulose,D,45.0,15.0,223214,0.0006,0
carboxymethyl-cellulose,D,45.0,15.0,223584,0.0008,0
carboxymethyl-cellulose,D,45.0,15.0,223871,0.001,0
carboxymethyl-cellulose,D,45.0,15.0,224159,0.0011,0
carboxymethyl-cellulose,D,45.0,15.0,224444,0.0013,0
carboxymethyl-cellulose,D,45.0,15.0,224732,0.0016,0
carboxymethyl-cellulose,D,45.0,15.0,225019,0.0018,0
carboxymethyl-cellulose,D,45.0,15.0,225305,0.0021,0
carboxymethyl-cellulose,D,45.0,15.0,225592,0.0025,0
carboxymethyl-cellulose,D,45.0,15.0,225880,0.0028,0
carboxymethyl-cellulose,D,45.0,15.0,226165,0.0031,0
carboxymethyl-cellulose,D,45.0,15.0,226453,0.0034,0
carboxymethyl-cellulose,D,45.0,15.0,226741,0.0038,0
carboxymethyl-cellulose,D,45.0,15.0,227027,0.0096,0
carboxymethyl-cellulose,D,45.0,15.0,227313,0.0168,0
carboxymethyl-cellulose,D,45.0,15.0,227601,0.0226,0
carboxymethyl-cellulose,D,45.0,15.0,227888,0.0253,0
carboxymethyl-cellulose,D,45.0,15.0,228174,0.0265,0
carboxymethyl-cellulose,D,45.0,15.0,228461,0.0276,0
carboxymethyl-cellulose,D,45.0,15.0,228749,0.0285,0
carboxymethyl-cellulose,D,45.0,15.0,229034,0.0292,0
carboxymethyl-cellulose,D,45.0,15.0,229322,0.0296,0
carboxymethyl-cellulose,D,45.0,15.0,229610,0.0299,0
carboxymethyl-cellulose,D,45.0,15.0,229895,0.0302,0
carboxymethyl-cellulose,D,45.0,15.0,230183,0.0306,0
carboxymethyl-cellulose,D,45.0,15.0,230470,0.0314,0
carboxymethyl-cellulose,D,45.0,15.0,230756,0.036,0
carboxymethyl-cellulose,D,45.0,15.0,231043,0.0369,0
carboxymethyl-cellulose,D,45.0,15.0,231331,0.0416,0
carboxymethyl-cellulose,D,45.0,15.0,231616,0.0461,0
carboxymethyl-cellulose,D,45.0,15.0,231904,0.0498,0
carboxymethyl-cellulose,D,45.0,15.0,232191,0.0531,0
carboxymethyl-cellulose,D,45.0,15.0,232477,0.055,0
carboxymethyl-cellulose,D,45.0,15.0,232764,0.0558,0
carboxymethyl-cellulose,D,45.0,15.0,233052,0.0561,0
carboxymethyl-cellulose,D,45.0,15.0,233337,0.0564,0
carboxymethyl-cellulose,D,45.0,15.0,233625,0.0566,0
carboxymethyl-cellulose,D,45.0,15.0,233913,0.0568,0
carboxymethyl-cellulose,D,45.0,15.0,234198,0.0571,0
carboxymethyl-cellulose,D,45.0,15.0,234486,0.0574,0
carboxymethyl-cellulose,D,45.0,15.0,234773,0.058,0
carboxymethyl-cellulose,D,45.0,45.0,237260,0.0702,1
carboxymethyl-cellulose,D,45.0,45.0,237547,0.0702,1
carboxymethyl-cellulose,D,45.0,45.0,237832,0.0702,1
carboxymethyl-cellulose,D,45.0,45.0,238120,0.075,0
carboxymethyl-cellulose,D,45.0,45.0,238407,0.0797,0
carboxymethyl-cellulose,D,45.0,45.0,238693,0.0812,0
carboxymethyl-cellulose,D,45.0,45.0,238980,0.0869,0
carboxymethyl-cellulose,D,45.0,45.0,239268,0.0985,0
carboxymethyl-cellulose,D,45.0,45.0,239553,0.1065,0
carboxymethyl-cellulose,D,45.0,45.0,239841,0.1077,0
carboxymethyl-cellulose,D,45.0,45.0,240129,0.1088,0
carboxymethyl-cellulose,D,45.0,45.0,240414,0.116,0
carboxymethyl-cellulose,D,45.0,45.0,240701,0.1262,0
carboxymethyl-cellulose,D,45.0,45.0,240989,0.132,0
carboxymethyl-cellulose,D,45.0,45.0,241275,0.1327,0
carboxymethyl-cellulose,D,45.0,45.0,241562,0.1381,0
carboxymethyl-cellulose,D,45.0,90.0,244144,0.1618,1
carboxymethyl-cellulose,D,45.0,90.0,244432,0.1618,1
carboxymethyl-cellulose,D,45.0,90.0,244719,0.1618,1
carboxymethyl-cellulose,D,45.0,90.0,245005,0.1668,0
carboxymethyl-cellulose,D,45.0,90.0,245292,0.1821,0
carboxymethyl-cellulose,D,45.0,90.0,245580,0.1919,0
carboxymethyl-cellulose,D,45.0,90.0,245865,0.2055,0
carboxymethyl-cellulose,D,45.0,90.0,246153,0.2188,0
