powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
carboxymethyl-cellulose,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
carboxymethyl-cellulose,B,0.0,hold,1,0.0,,,0.0,0.0,
carboxymethyl-cellulose,B,45.0,hold,1,0.0,,,0.0,0.0,
carboxymethyl-cellulose,B,90.0,hold,1,0.0,,,0.0,0.0,
carboxymethyl-cellulose,C,0.0,rotation,6,0.0025833333333333333,0.0012139467313958495,0.0004955916778065499,0.0009,0.0041,46.99148637661353
carboxymethyl-cellulose,C,45.0,rotation,6,0.02635,0.002400624918640977,0.0009800510190801292,0.0218,0.0287,9.110531000535019
carboxymethyl-cellulose,C,90.0,rotation,6,0.009349999999999999,0.014687920206754938,0.005996318314877333,0.0014,0.039,157.0900556872186
carboxymethyl-cellulose,D,45.0,speed,3,0.08276666666666667,0.01117780538984882,0.0064535089507784665,0.0702,0.0916,13.505201840332848
carboxymethyl-cellulose,E,0.0,refeed,8,0.0028875,0.0003833592123769634,0.00013553794935104233,0.0023,0.0033,13.276509519548515
carboxymethyl-cellulose,E,0.0,tap,8,1.25e-05,3.535533905932738e-05,1.2499999999999999e-05,0.0,0.0001,282.842712474619
carboxymethyl-cellulose,E,45.0,refeed,8,0.023975,0.0025075599978579056,0.0008865563393587248,0.0199,0.0282,10.459061513484485
carboxymethyl-cellulose,E,45.0,tap,8,0.00015,0.0003070597894314954,0.00010856202966836189,0.0,0.0009,204.70652628766365
