powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms
carboxymethyl-cellulose,A,45.0,baseline,0,,,0.0,0.0,0.0,,7468
carboxymethyl-cellulose,A,45.0,baseline,1,,,0.0,0.0,0.0,,9566
carboxymethyl-cellulose,A,45.0,baseline,2,,,0.0,0.0,0.0,,11669
carboxymethyl-cellulose,A,45.0,baseline,3,,,0.0,0.0,0.0,,13784
carboxymethyl-cellulose,A,45.0,baseline,4,,,0.0,0.0,0.0,,15878
carboxymethyl-cellulose,A,45.0,baseline,5,,,0.0,0.0,0.0,,17981
carboxymethyl-cellulose,A,45.0,baseline,6,,,0.0,0.0,0.0,,20096
carboxymethyl-cellulose,A,45.0,baseline,7,,,0.0,0.0,0.0,,22190
carboxymethyl-cellulose,B,0.0,hold,0,15,,0.0,0.0,0.0,,42664
carboxymethyl-cellulose,B,45.0,hold,0,15,,0.0,0.0,0.0,,63122
carboxymethyl-cellulose,B,90.0,hold,0,15,,0.0,0.0,0.0,,83588
carboxymethyl-cellulose,C,0.0,rotation,0,360.0,30.0,0.0,0.0009,0.0009,,96019
carboxymethyl-cellulose,C,0.0,rotation,1,360.0,30.0,0.0009,0.0024,0.0015,,102425
carboxymethyl-cellulose,C,0.0,rotation,2,360.0,30.0,0.0024,0.0057,0.0033,,108834
carboxymethyl-cellulose,C,0.0,rotation,3,360.0,30.0,0.0057,0.0098,0.0041,,115240
carboxymethyl-cellulose,C,0.0,rotation,4,360.0,30.0,0.0098,0.0131,0.0033,,121648
carboxymethyl-cellulose,C,0.0,rotation,5,360.0,30.0,0.0131,0.0155,0.0024,,128053
carboxymethyl-cellulose,C,45.0,rotation,0,360.0,30.0,0.0,0.0262,0.0262,,139731
carboxymethyl-cellulose,C,45.0,rotation,1,360.0,30.0,0.0262,0.0539,0.0277,,146129
carboxymethyl-cellulose,C,45.0,rotation,2,360.0,30.0,0.0539,0.0826,0.0287,,152536
carboxymethyl-cellulose,C,45.0,rotation,3,360.0,30.0,0.0826,0.1091,0.0265,,158941
carboxymethyl-cellulose,C,45.0,rotation,4,360.0,30.0,0.1091,0.1309,0.0218,,165349
carboxymethyl-cellulose,C,45.0,rotation,5,360.0,30.0,0.1309,0.1581,0.0272,,171755
carboxymethyl-cellulose,C,90.0,rotation,0,360.0,30.0,0.0,0.039,0.039,,183423
carboxymethyl-cellulose,C,90.0,rotation,1,360.0,30.0,0.039,0.0464,0.0074,,189831
carboxymethyl-cellulose,C,90.0,rotation,2,360.0,30.0,0.0464,0.0504,0.004,,196239
carboxymethyl-cellulose,C,90.0,rotation,3,360.0,30.0,0.0504,0.0522,0.0018,,202646
carboxymethyl-cellulose,C,90.0,rotation,4,360.0,30.0,0.0522,0.0536,0.0014,,209053
carboxymethyl-cellulose,C,90.0,rotation,5,360.0,30.0,0.0536,0.0561,0.0025,,215460
carboxymethyl-cellulose,D,45.0,speed,0,3.0,15.0,0.0,0.0702,0.0702,,236890
carboxymethyl-cellulose,D,45.0,speed,1,3.0,45.0,0.0702,0.1618,0.0916,,243680
carboxymethyl-cellulose,D,45.0,speed,2,3.0,90.0,0.1618,0.2483,0.0865,,248270
carboxymethyl-cellulose,E,0.0,refeed,0,360.0,30.0,0.0,0.0026,0.0026,,259925
carboxymethyl-cellulose,E,0.0,tap,0,1,,0.0026,0.0026,0.0,,262322
carboxymethyl-cellulose,E,0.0,refeed,1,360.0,30.0,0.0026,0.0049,0.0023,,268728
carboxymethyl-cellulose,E,0.0,tap,1,1,,0.0049,0.0049,0.0,,271125
carboxymethyl-cellulose,E,0.0,refeed,2,360.0,30.0,0.0049,0.0078,0.0029,,277530
carboxymethyl-cellulose,E,0.0,tap,2,1,,0.0078,0.0078,0.0,,279913
carboxymethyl-cellulose,E,0.0,refeed,3,360.0,30.0,0.0078,0.0111,0.0033,,286322
carboxymethyl-cellulose,E,0.0,tap,3,1,,0.0111,0.0111,0.0,,288719
carboxymethyl-cellulose,E,0.0,refeed,4,360.0,30.0,0.0111,0.0137,0.0026,,295121
carboxymethyl-cellulose,E,0.0,tap,4,1,,0.0137,0.0137,0.0,,297518
carboxymethyl-cellulose,E,0.0,refeed,5,360.0,30.0,0.0137,0.017,0.0033,,303923
carboxymethyl-cellulose,E,0.0,tap,5,1,,0.017,0.0171,0.0001,,306307
carboxymethyl-cellulose,E,0.0,refeed,6,360.0,30.0,0.0171,0.0204,0.0033,,312715
carboxymethyl-cellulose,E,0.0,tap,6,1,,0.0204,0.0204,0.0,,315111
carboxymethyl-cellulose,E,0.0,refeed,7,360.0,30.0,0.0204,0.0232,0.0028,,321515
carboxymethyl-cellulose,E,0.0,tap,7,1,,0.0232,0.0232,0.0,,323912
carboxymethyl-cellulose,E,45.0,refeed,0,360.0,30.0,0.0,0.0255,0.0255,,335572
carboxymethyl-cellulose,E,45.0,tap,0,1,,0.0255,0.0256,0.0001,,337969
carboxymethyl-cellulose,E,45.0,refeed,1,360.0,30.0,0.0261,0.0506,0.0245,,345132
carboxymethyl-cellulose,E,45.0,tap,1,1,,0.0506,0.0506,0.0,,347529
carboxymethyl-cellulose,E,45.0,refeed,2,360.0,30.0,0.0506,0.0788,0.0282,,353934
carboxymethyl-cellulose,E,45.0,tap,2,1,,0.0788,0.0788,0.0,,356331
carboxymethyl-cellulose,E,45.0,refeed,3,360.0,30.0,0.0788,0.0987,0.0199,,362736
carboxymethyl-cellulose,E,45.0,tap,3,1,,0.0987,0.0988,0.0001,,365120
carboxymethyl-cellulose,E,45.0,refeed,4,360.0,30.0,0.0988,0.1243,0.0255,,371527
carboxymethyl-cellulose,E,45.0,tap,4,1,,0.1243,0.1243,0.0,,373924
carboxymethyl-cellulose,E,45.0,refeed,5,360.0,30.0,0.1243,0.147,0.0227,,380330
carboxymethyl-cellulose,E,45.0,tap,5,1,,0.147,0.147,0.0,,382727
carboxymethyl-cellulose,E,45.0,refeed,6,360.0,30.0,0.147,0.1697,0.0227,,389133
carboxymethyl-cellulose,E,45.0,tap,6,1,,0.1697,0.1698,0.0001,,391514
carboxymethyl-cellulose,E,45.0,refeed,7,360.0,30.0,0.1698,0.1926,0.0228,,397922
carboxymethyl-cellulose,E,45.0,tap,7,1,,0.1926,0.1935,0.0009,,401078
