powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
xanthan-gum,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
xanthan-gum,B,0.0,hold,1,0.0,,,0.0,0.0,
xanthan-gum,B,45.0,hold,1,0.0,,,0.0,0.0,
xanthan-gum,B,90.0,hold,1,0.0,,,0.0,0.0,
xanthan-gum,C,0.0,rotation,6,0.023716666666666667,0.004880744478731361,0.0019925555896330165,0.0153,0.0276,20.57938641770075
xanthan-gum,C,45.0,rotation,6,0.16118333333333335,0.019454091257796312,0.007942099498523328,0.148,0.1995,12.069542709831234
xanthan-gum,C,90.0,rotation,6,0.18676666666666666,0.007382592137363853,0.00301393061927075,0.1806,0.2007,3.952842479402385
xanthan-gum,D,45.0,speed,3,0.46386666666666665,0.20643268475058238,0.1191839661102859,0.3176,0.7,44.50259084878896
xanthan-gum,E,0.0,refeed,8,0.019975,0.0009223417401995242,0.00032609704953324216,0.0179,0.021,4.61748055168723
xanthan-gum,E,0.0,tap,8,0.00015,0.0003070597894314954,0.00010856202966836189,0.0,0.0009,204.70652628766365
xanthan-gum,E,45.0,refeed,8,0.13635,0.006484707284945755,0.002292690247597474,0.1237,0.1437,4.7559276017203915
xanthan-gum,E,45.0,tap,8,0.0136125,0.0034477477120163948,0.0012189628934935982,0.009,0.0178,25.327806883499687
