powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
salt,A,45.0,baseline,8,0.0,0.0,0.0,0.0,0.0,
salt,B,0.0,hold,1,0.0,,,0.0,0.0,
salt,B,45.0,hold,1,0.0,,,0.0,0.0,
salt,B,90.0,hold,1,0.0,,,0.0,0.0,
salt,C,0.0,rotation,6,0.0056,0.0006985699678629193,0.00028518999514943257,0.0044,0.0063,12.474463711837844
salt,C,45.0,rotation,6,0.0171,0.005944409138005223,0.002426794868408398,0.0068,0.0238,34.76262653804224
salt,C,90.0,rotation,6,0.024900000000000002,0.009874006279114876,0.004031046183478098,0.015,0.0424,39.6546436912244
salt,D,45.0,speed,3,0.0881,0.055140547694051786,0.031835410054424196,0.0537,0.1517,62.5885898910917
salt,E,0.0,refeed,8,0.0071125,0.002291248879666159,0.0008100788100990103,0.0052,0.0124,32.21439549618501
salt,E,0.0,tap,8,0.00125,0.0004242640687119285,0.00015,0.0007,0.0019,33.94112549695428
salt,E,45.0,refeed,8,0.0457875,0.009169271274986127,0.0032418269485408554,0.0301,0.0593,20.02570849027819
salt,E,45.0,tap,8,0.0030499999999999998,0.001218898800440088,0.0004309458036856673,0.0012,0.0045,39.963895096396335
