pass,t_ms,trial,phase,mass,stab,fresh,rpm,m_hat,r_hat,b_hat,sigma,pred
1,1592,0,noise,-0.0272,S,0,0,,,,,
1,1778,0,noise,-0.0271,S,0,0,,,,,
1,1968,0,noise,-0.0271,S,0,0,,,,,
1,2160,0,noise,-0.0270,S,0,0,,,,,
1,2352,0,noise,-0.0270,S,0,0,,,,,
1,2542,0,noise,-0.0269,S,0,0,,,,,
1,2733,0,noise,-0.0269,S,0,0,,,,,
1,2925,0,noise,-0.0268,S,0,0,,,,,
1,3117,0,noise,-0.0268,S,0,0,,,,,
1,3307,0,noise,-0.0267,U,0,0,,,,,
1,3498,0,noise,-0.0267,S,0,0,,,,,
1,3690,0,noise,-0.0266,U,0,0,,,,,
1,3881,0,noise,-0.0266,S,0,0,,,,,
1,4073,0,noise,-0.0265,U,0,0,,,,,
1,4263,0,noise,-0.0265,S,0,0,,,,,
1,4455,0,noise,-0.0265,S,0,0,,,,,
1,4646,0,noise,-0.0264,S,0,0,,,,,
1,4838,0,noise,-0.0264,S,0,0,,,,,
1,5030,0,noise,-0.0264,S,0,0,,,,,
1,5219,0,noise,-0.0264,S,0,0,,,,,
1,5411,0,noise,-0.0263,S,0,0,,,,,
1,5603,0,noise,-0.0263,S,0,0,,,,,
1,5795,0,noise,-0.0263,S,0,0,,,,,
1,5984,0,noise,-0.0263,S,0,0,,,,,
1,6175,0,noise,-0.0263,S,0,0,,,,,
1,6368,0,noise,-0.0263,S,0,0,,,,,
1,6559,0,noise,-0.0262,S,0,0,,,,,
1,6751,0,noise,-0.0262,S,0,0,,,,,
1,6941,0,noise,-0.0262,S,0,0,,,,,
1,7133,0,noise,-0.0262,S,0,0,,,,,
1,7325,0,noise,-0.0262,S,0,0,,,,,
1,7516,0,noise,-0.0261,S,0,0,,,,,
1,7708,0,noise,-0.0261,S,0,0,,,,,
1,7898,0,noise,-0.0261,S,0,0,,,,,
1,8089,0,noise,-0.0261,S,0,0,,,,,
1,8280,0,noise,-0.0261,S,0,0,,,,,
1,8472,0,noise,-0.0256,U,0,0,,,,,
1,8662,0,noise,-0.0256,U,0,0,,,,,
