pass,trial,variant,target_g,tilt,rpm,rep,m_base,m_halt_raw,m_hat_halt,r_hat_halt,sigma_halt,pred_halt,t_disp_s,m_settled,m_settled2,dispensed_g,error_mg,afterflow_mg,verdict
1,1,kf,0.200,55,55,1,0.5905,0.6705,0.1564,0.2201,0.02137,0.2114,1.25,0.8291,0.8295,0.2390,39.0,159.0,ok
1,2,naive,0.500,55,55,1,0.8303,1.3463,0.5587,0.1024,0.02214,0.5160,3.73,1.4448,1.4465,0.6162,116.2,100.2,ok
1,3,kf,0.500,55,55,1,1.4468,1.8781,0.4695,0.1306,0.02109,0.5021,6.41,1.9427,1.9439,0.4971,-2.9,65.8,ok
1,4,kfsafe,0.500,55,55,1,1.9444,2.3239,0.4323,0.1583,0.02189,0.5157,5.65,2.3525,2.3534,0.4090,-91.0,29.5,ok
1,5,kflag,0.500,55,55,1,2.3552,2.8625,0.5541,0.1455,0.02214,0.5541,6.60,2.9202,2.9204,0.5652,65.2,57.9,ok
1,6,kf,1.000,55,55,1,2.9206,3.8734,0.9965,0.1318,0.02184,1.0295,12.34,3.9121,3.9122,0.9916,-8.4,38.8,ok
1,7,naive,1.000,55,55,1,3.9124,4.9130,1.0055,0.0381,0.02077,1.0006,13.48,5.0066,5.0080,1.0956,95.6,95.0,ok
1,8,kfsafe,1.000,55,55,1,5.0084,5.9158,0.9486,0.1313,0.02077,1.0230,14.07,6.0004,6.0006,0.9922,-7.8,84.8,ok
1,9,kf,2.000,55,55,1,6.0007,7.9291,1.9732,0.1442,0.02077,2.0093,30.50,7.9699,7.9708,1.9701,-29.9,41.7,ok
1,10,kf,2.000,55,55,2,7.9709,9.9122,1.9825,0.1357,0.02189,2.0164,30.51,9.9951,9.9952,2.0243,24.3,83.0,ok
1,11,kf,1.000,55,90,1,9.9953,10.9654,1.0263,0.1954,0.02187,1.0751,10.06,11.0561,11.0566,1.0613,61.3,91.2,ok
1,12,kf,1.000,55,55,2,11.0567,12.0183,1.0180,0.1724,0.02077,1.0611,12.53,12.0719,12.0720,1.0153,15.3,53.7,ok
1,13,kf,0.500,55,55,2,12.0721,12.5253,0.4919,0.1249,0.02119,0.5231,6.79,12.6205,12.6215,0.5494,49.4,96.2,ok
1,14,kf,0.200,55,55,2,12.6215,12.7526,0.1764,0.1401,0.02095,0.2114,3.36,12.8068,12.8076,0.1861,-13.9,55.0,ok
2,1,kf,0.100,55,55,1,13.1087,13.1694,0.0899,0.1052,0.02077,0.1162,1.82,13.2133,13.2133,0.1046,4.6,43.9,ok
2,2,kf,0.500,55,55,3,13.2134,13.6752,0.4933,0.1051,0.02214,0.5196,7.18,13.7761,13.7760,0.5626,62.6,100.8,ok
2,3,kflag,1.000,55,55,1,13.7759,14.7326,1.0028,0.1474,0.02205,1.0028,12.91,14.7812,14.7812,1.0053,5.3,48.6,ok
2,4,kf,1.000,55,55,3,14.7807,15.7287,0.9999,0.1501,0.02180,1.0374,14.45,15.7691,15.7696,0.9889,-11.1,40.9,ok
2,5,naive,0.500,55,55,2,15.7697,16.2774,0.5477,0.1306,0.02223,0.5077,7.75,16.3837,16.3836,0.6139,113.9,106.2,ok
2,6,kfsafe,0.500,55,55,2,16.3836,16.8073,0.4725,0.1540,0.02061,0.5522,6.80,16.8402,16.8394,0.4558,-44.2,32.1,ok
2,7,kf,2.000,55,55,3,16.8393,18.7856,1.9802,0.1128,0.02061,2.0084,26.31,18.8152,18.8152,1.9759,-24.1,29.6,ok
2,8,kf,0.200,55,55,3,18.8152,18.9539,0.1786,0.1310,0.02189,0.2113,2.21,19.0193,19.0192,0.2040,4.0,65.3,ok
2,9,kf,0.100,55,55,2,19.0192,19.0892,0.0917,0.0841,0.02135,0.1127,1.45,19.1703,19.1703,0.1511,51.1,81.1,ok
2,10,kf,1.000,55,90,2,19.1704,20.0942,0.9642,0.1464,0.02137,1.0008,9.29,20.1904,20.1903,1.0199,19.9,96.1,ok
