M,experiment,lowrpm-stop-battery-D-and-quantum-vs-tilt-Q
M,powder_id,salt
M,gear_ratio_stepper_per_auger,44/20=2.2
M,steps_per_auger_rev,3520
M,full_steps_rev,200
M,microsteps,8
M,stepper_direction,1
M,accel_rev_per_s2,4.0
M,cap_g,32.0
M,hard_g,38.0
M,tare_mode,no-hardware-tare-absolute-differences
M,auger_tare_g,56.716
M,tilt_D,55.0
M,rpms_D,5|10|15|25
M,reps_D,5
M,cruise_revs_D,3
M,halt_phase_deg,0.0
M,rpm_Q,10.0
M,incr_deg_Q,20.0
M,tilts_Q,15|35|55
M,n_scans_Q,2
M,flow_check,1rev@30rpm@55deg
M,tilt_D2,25.0
M,reps_D2,2
M,planned_D_trials,20
M,planned_Q_scans,6
M,planned_D2_trials,8
M,incr_per_scan_Q,18
E,1040,baseline (no tare) + 15 s static noise stream
P,1155,0,baseline0,0.0172,S,0.0000,0.00
D,1250,0,noise,0.0171,S,0,0.0000,0.00
D,1442,0,noise,0.0171,S,0,0.0000,0.00
D,1633,0,noise,0.0171,S,0,0.0000,0.00
D,1825,0,noise,0.0171,S,0,0.0000,0.00
D,2017,0,noise,0.0174,U,0,0.0000,0.00
D,2209,0,noise,0.0175,U,0,0.0000,0.00
D,2401,0,noise,0.0176,U,0,0.0000,0.00
D,2592,0,noise,0.0177,U,0,0.0000,0.00
D,2784,0,noise,0.0178,U,0,0.0000,0.00
D,2976,0,noise,0.0179,U,0,0.0000,0.00
D,3167,0,noise,0.0180,U,0,0.0000,0.00
D,3358,0,noise,0.0180,U,0,0.0000,0.00
D,3549,0,noise,0.0181,U,0,0.0000,0.00
D,3740,0,noise,0.0182,U,0,0.0000,0.00
D,3931,0,noise,0.0182,S,0,0.0000,0.00
D,4122,0,noise,0.0183,U,0,0.0000,0.00
D,4313,0,noise,0.0183,S,0,0.0000,0.00
D,4504,0,noise,0.0184,S,0,0.0000,0.00
D,4695,0,noise,0.0184,S,0,0.0000,0.00
D,4886,0,noise,0.0184,S,0,0.0000,0.00
D,5077,0,noise,0.0184,S,0,0.0000,0.00
D,5268,0,noise,0.0184,S,0,0.0000,0.00
D,5459,0,noise,0.0184,S,0,0.0000,0.00
D,5650,0,noise,0.0184,S,0,0.0000,0.00
D,5841,0,noise,0.0185,S,0,0.0000,0.00
D,6032,0,noise,0.0185,S,0,0.0000,0.00
D,6223,0,noise,0.0185,S,0,0.0000,0.00
D,6414,0,noise,0.0185,S,0,0.0000,0.00
D,6605,0,noise,0.0185,S,0,0.0000,0.00
D,6796,0,noise,0.0185,S,0,0.0000,0.00
D,6988,0,noise,0.0185,S,0,0.0000,0.00
D,7180,0,noise,0.0185,S,0,0.0000,0.00
D,7371,0,noise,0.0185,S,0,0.0000,0.00
D,7562,0,noise,0.0186,S,0,0.0000,0.00
D,7753,0,noise,0.0186,S,0,0.0000,0.00
D,7945,0,noise,0.0186,S,0,0.0000,0.00
D,8136,0,noise,0.0186,S,0,0.0000,0.00
D,8327,0,noise,0.0186,S,0,0.0000,0.00
D,8518,0,noise,0.0186,S,0,0.0000,0.00
D,8710,0,noise,0.0186,S,0,0.0000,0.00
D,8902,0,noise,0.0186,S,0,0.0000,0.00
D,9093,0,noise,0.0186,S,0,0.0000,0.00
D,9284,0,noise,0.0186,S,0,0.0000,0.00
D,9475,0,noise,0.0186,S,0,0.0000,0.00
D,9666,0,noise,0.0186,S,0,0.0000,0.00
D,9858,0,noise,0.0186,S,0,0.0000,0.00
D,10049,0,noise,0.0186,S,0,0.0000,0.00
D,10240,0,noise,0.0186,S,0,0.0000,0.00
D,10431,0,noise,0.0186,S,0,0.0000,0.00
D,10623,0,noise,0.0186,S,0,0.0000,0.00
D,10814,0,noise,0.0186,S,0,0.0000,0.00
D,11005,0,noise,0.0186,S,0,0.0000,0.00
D,11196,0,noise,0.0186,S,0,0.0000,0.00
D,11388,0,noise,0.0186,S,0,0.0000,0.00
D,11579,0,noise,0.0186,S,0,0.0000,0.00
D,11770,0,noise,0.0186,S,0,0.0000,0.00
D,11961,0,noise,0.0186,S,0,0.0000,0.00
D,12152,0,noise,0.0186,S,0,0.0000,0.00
D,12344,0,noise,0.0186,S,0,0.0000,0.00
D,12536,0,noise,0.0186,S,0,0.0000,0.00
D,12727,0,noise,0.0185,S,0,0.0000,0.00
D,12918,0,noise,0.0185,S,0,0.0000,0.00
D,13109,0,noise,0.0185,S,0,0.0000,0.00
D,13301,0,noise,0.0185,S,0,0.0000,0.00
D,13492,0,noise,0.0185,S,0,0.0000,0.00
D,13695,0,noise,0.0185,S,0,0.0000,0.00
D,13874,0,noise,0.0185,S,0,0.0000,0.00
D,14065,0,noise,0.0185,S,0,0.0000,0.00
D,14257,0,noise,0.0185,S,0,0.0000,0.00
D,14447,0,noise,0.0185,S,0,0.0000,0.00
D,14639,0,noise,0.0185,S,0,0.0000,0.00
D,14830,0,noise,0.0185,S,0,0.0000,0.00
D,15022,0,noise,0.0185,S,0,0.0000,0.00
D,15214,0,noise,0.0185,S,0,0.0000,0.00
D,15405,0,noise,0.0185,S,0,0.0000,0.00
D,15596,0,noise,0.0185,S,0,0.0000,0.00
D,15787,0,noise,0.0185,S,0,0.0000,0.00
D,15978,0,noise,0.0185,S,0,0.0000,0.00
D,16169,0,noise,0.0185,S,0,0.0000,0.00
P,16361,0,noise_end,0.0185,S,0.0000,0.00
E,16363,noise baseline done
E,16365,--- flow check D_pre (block 1): 1 rev @ 30 rpm, tilt 55 ---
P,19612,1,flow_before,-0.0048,S,0.0000,0.00
D,19706,1,flowmove,-0.0049,S,30,1.0000,0.00
D,19898,1,flowmove,-0.0053,U,30,1.0000,0.00
D,20090,1,flowmove,-0.0125,U,30,1.0000,0.00
D,20282,1,flowmove,-0.0143,U,30,1.0000,0.00
D,20474,1,flowmove,-0.0122,U,30,1.0000,0.00
D,20666,1,flowmove,-0.0093,U,30,1.0000,0.00
D,20858,1,flowmove,-0.0126,U,30,1.0000,0.00
D,21050,1,flowmove,-0.0132,U,30,1.0000,0.00
D,21242,1,flowmove,-0.0150,U,30,1.0000,0.00
D,21434,1,flowmove,-0.0204,U,30,1.0000,0.00
D,21626,1,flowmove,-0.0236,U,30,1.0000,0.00
D,21818,1,flowmove,-0.0128,U,30,1.0000,0.00
D,22010,1,flowmove,0.0091,U,30,1.0000,0.00
P,26672,1,flow_after,-0.0042,U,1.0000,0.00
F,1,D_pre,55,30,1,-0.0048,-0.0042,0.0006
E,26678,flow check LOW: 0.0006 g/rev (consecutive low = 1)
E,26681,=== D trial 2 : tilt 55 rep 1 rpm 5 cruise 3 rev -> halt phase 0 (abs -0.00) ===
P,28983,2,base,-0.0054,S,1.0000,0.00
D,29078,2,preroll,-0.0055,U,0,1.0000,0.00
D,29270,2,preroll,-0.0055,S,0,1.0000,0.00
D,29462,2,preroll,-0.0056,U,0,1.0000,0.00
D,29654,2,preroll,-0.0056,S,0,1.0000,0.00
D,29846,2,preroll,-0.0056,S,0,1.0000,0.00
D,30038,2,preroll,-0.0057,S,0,1.0000,0.00
D,30232,2,move,-0.0057,S,5,4.0000,0.00
D,30424,2,move,-0.0058,S,5,4.0000,0.00
D,30616,2,move,-0.0057,S,5,4.0000,0.00
D,30808,2,move,-0.0011,U,5,4.0000,0.00
D,31000,2,move,0.0077,U,5,4.0000,0.00
D,31192,2,move,0.0113,U,5,4.0000,0.00
D,31384,2,move,0.0085,U,5,4.0000,0.00
D,31567,2,move,0.0039,U,5,4.0000,0.00
D,31758,2,move,-0.0006,U,5,4.0000,0.00
D,31950,2,move,-0.0027,U,5,4.0000,0.00
D,32142,2,move,-0.0033,U,5,4.0000,0.00
D,32334,2,move,-0.0059,U,5,4.0000,0.00
D,32526,2,move,-0.0064,U,5,4.0000,0.00
D,32718,2,move,-0.0014,U,5,4.0000,0.00
D,32910,2,move,0.0132,U,5,4.0000,0.00
D,33102,2,move,0.0152,U,5,4.0000,0.00
D,33294,2,move,0.0069,U,5,4.0000,0.00
D,33486,2,move,-0.0013,U,5,4.0000,0.00
D,33678,2,move,-0.0024,U,5,4.0000,0.00
D,33870,2,move,-0.0001,U,5,4.0000,0.00
D,34050,2,move,0.0051,U,5,4.0000,0.00
D,34242,2,move,0.0160,U,5,4.0000,0.00
D,34434,2,move,0.0304,U,5,4.0000,0.00
D,34626,2,move,0.0541,U,5,4.0000,0.00
D,34818,2,move,0.0881,U,5,4.0000,0.00
D,35010,2,move,0.1034,U,5,4.0000,0.00
D,35202,2,move,0.0886,U,5,4.0000,0.00
D,35394,2,move,0.0765,U,5,4.0000,0.00
D,35586,2,move,0.0827,U,5,4.0000,0.00
D,35778,2,move,0.0926,U,5,4.0000,0.00
D,35970,2,move,0.0990,U,5,4.0000,0.00
D,36162,2,move,0.1105,U,5,4.0000,0.00
D,36354,2,move,0.1256,U,5,4.0000,0.00
D,36546,2,move,0.1397,U,5,4.0000,0.00
D,36738,2,move,0.1511,U,5,4.0000,0.00
D,36930,2,move,0.1625,U,5,4.0000,0.00
D,37122,2,move,0.1813,U,5,4.0000,0.00
D,37314,2,move,0.2045,U,5,4.0000,0.00
D,37492,2,move,0.2275,U,5,4.0000,0.00
D,37684,2,move,0.2545,U,5,4.0000,0.00
D,37876,2,move,0.2789,U,5,4.0000,0.00
D,38068,2,move,0.2948,U,5,4.0000,0.00
D,38260,2,move,0.3036,U,5,4.0000,0.00
D,38452,2,move,0.3077,U,5,4.0000,0.00
D,38644,2,move,0.3133,U,5,4.0000,0.00
D,38836,2,move,0.3164,U,5,4.0000,0.00
D,39028,2,move,0.3187,U,5,4.0000,0.00
D,39220,2,move,0.3215,U,5,4.0000,0.00
D,39412,2,move,0.3225,U,5,4.0000,0.00
D,39604,2,move,0.3240,U,5,4.0000,0.00
D,39796,2,move,0.3277,U,5,4.0000,0.00
D,39988,2,move,0.3333,U,5,4.0000,0.00
D,40180,2,move,0.3367,U,5,4.0000,0.00
