powder_id,trial,scan,incr,tilt,rpm,incr_deg,cum_deg,phase_deg,auger_rev,m_before,m_after,yield_mg,mg_per_deg,stable
salt,27,1,1,15,10,20,20,20.05,66.0557,10.4621,10.4478,-14.3,-0.715,S
salt,27,1,2,15,10,20,40,40.09,66.1114,10.4478,10.4081,-39.7,-1.985,S
salt,27,1,3,15,10,20,60,60.14,66.1670,10.4081,10.4545,46.4,2.320,S
salt,27,1,4,15,10,20,80,80.18,66.2227,10.4545,10.4081,-46.4,-2.320,S
salt,27,1,5,15,10,20,100,100.23,66.2784,10.4081,10.4398,31.7,1.585,S
salt,27,1,6,15,10,20,120,120.27,66.3341,10.4398,10.4881,48.3,2.415,S
salt,27,1,7,15,10,20,140,140.32,66.3898,10.4881,10.4555,-32.6,-1.630,U
salt,27,1,8,15,10,20,160,160.36,66.4455,10.4555,10.4868,31.3,1.565,S
salt,27,1,9,15,10,20,180,180.41,66.5011,10.4868,10.4916,4.8,0.240,S
salt,27,1,10,15,10,20,200,200.45,66.5568,10.4916,10.5260,34.4,1.720,S
salt,27,1,11,15,10,20,220,220.50,66.6125,10.5260,10.5354,9.4,0.470,S
salt,27,1,12,15,10,20,240,240.55,66.6682,10.5354,10.5586,23.2,1.160,S
salt,27,1,13,15,10,20,260,260.59,66.7239,10.5586,10.5686,10.0,0.500,S
salt,27,1,14,15,10,20,280,280.64,66.7795,10.5686,10.5595,-9.1,-0.455,S
salt,27,1,15,15,10,20,300,300.68,66.8352,10.5595,10.5953,35.8,1.790,S
salt,27,1,16,15,10,20,320,320.73,66.8909,10.5953,10.5792,-16.1,-0.805,S
salt,27,1,17,15,10,20,340,340.77,66.9466,10.5792,10.5842,5.0,0.250,S
salt,27,1,18,15,10,20,360,0.82,67.0023,10.5842,10.5977,13.5,0.675,S
salt,28,1,1,35,10,20,20,20.86,67.0580,10.6448,10.6950,50.2,2.510,S
salt,28,1,2,35,10,20,40,40.91,67.1136,10.6950,10.6605,-34.5,-1.725,S
salt,28,1,3,35,10,20,60,60.95,67.1693,10.6605,10.6615,1.0,0.050,S
salt,28,1,4,35,10,20,80,81.00,67.2250,10.6615,10.6880,26.5,1.325,S
salt,28,1,5,35,10,20,100,101.05,67.2807,10.6880,10.6837,-4.3,-0.215,S
salt,28,1,6,35,10,20,120,121.09,67.3364,10.6837,10.6958,12.1,0.605,S
salt,28,1,7,35,10,20,140,141.14,67.3920,10.6958,10.7067,10.9,0.545,S
salt,28,1,8,35,10,20,160,161.18,67.4477,10.7067,10.6942,-12.5,-0.625,S
salt,28,1,9,35,10,20,180,181.23,67.5034,10.6942,10.7167,22.5,1.125,S
salt,28,1,10,35,10,20,200,201.27,67.5591,10.7167,10.7102,-6.5,-0.325,U
salt,28,1,11,35,10,20,220,221.32,67.6148,10.7102,10.7665,56.3,2.815,S
salt,28,1,12,35,10,20,240,241.36,67.6705,10.7665,10.7413,-25.2,-1.260,S
salt,28,1,13,35,10,20,260,261.41,67.7261,10.7413,10.7727,31.4,1.570,S
salt,28,1,14,35,10,20,280,281.45,67.7818,10.7727,10.7464,-26.3,-1.315,S
salt,28,1,15,35,10,20,300,301.50,67.8375,10.7464,10.7987,52.3,2.615,S
salt,28,1,16,35,10,20,320,321.55,67.8932,10.7987,10.7422,-56.5,-2.825,S
salt,28,1,17,35,10,20,340,341.59,67.9489,10.7422,10.7705,28.3,1.415,S
salt,28,1,18,35,10,20,360,1.64,68.0045,10.7705,10.7770,6.5,0.325,S
salt,29,1,1,55,10,20,20,21.68,68.0602,10.7589,10.7515,-7.4,-0.370,U
salt,29,1,2,55,10,20,40,41.73,68.1159,10.7515,10.7762,24.7,1.235,S
salt,29,1,3,55,10,20,60,61.77,68.1716,10.7762,10.7907,14.5,0.725,S
salt,29,1,4,55,10,20,80,81.82,68.2273,10.7907,10.7662,-24.5,-1.225,S
salt,29,1,5,55,10,20,100,101.86,68.2830,10.7662,10.7927,26.5,1.325,S
salt,29,1,6,55,10,20,120,121.91,68.3386,10.7927,10.7539,-38.8,-1.940,S
salt,29,1,7,55,10,20,140,141.95,68.3943,10.7539,10.8161,62.2,3.110,S
salt,29,1,8,55,10,20,160,162.00,68.4500,10.8161,10.8197,3.6,0.180,S
salt,29,1,9,55,10,20,180,182.05,68.5057,10.8197,10.8064,-13.3,-0.665,S
salt,29,1,10,55,10,20,200,202.09,68.5614,10.8064,10.8148,8.4,0.420,S
salt,29,1,11,55,10,20,220,222.14,68.6170,10.8148,10.8029,-11.9,-0.595,S
salt,29,1,12,55,10,20,240,242.18,68.6727,10.8029,10.8464,43.5,2.175,S
salt,29,1,13,55,10,20,260,262.23,68.7284,10.8464,10.8492,2.8,0.140,S
salt,29,1,14,55,10,20,280,282.27,68.7841,10.8492,10.8794,30.2,1.510,S
salt,29,1,15,55,10,20,300,302.32,68.8398,10.8794,10.8686,-10.8,-0.540,S
salt,29,1,16,55,10,20,320,322.36,68.8955,10.8686,10.8598,-8.8,-0.440,S
salt,29,1,17,55,10,20,340,342.41,68.9511,10.8598,10.8413,-18.5,-0.925,S
salt,29,1,18,55,10,20,360,2.45,69.0068,10.8413,10.8617,20.4,1.020,S
salt,30,2,1,55,10,20,20,22.50,69.0625,10.8618,10.8362,-25.6,-1.280,S
salt,30,2,2,55,10,20,40,42.55,69.1182,10.8362,10.8611,24.9,1.245,S
salt,30,2,3,55,10,20,60,62.59,69.1739,10.8611,10.8489,-12.2,-0.610,S
salt,30,2,4,55,10,20,80,82.64,69.2295,10.8489,10.8393,-9.6,-0.480,S
salt,30,2,5,55,10,20,100,102.68,69.2852,10.8393,10.8700,30.7,1.535,S
salt,30,2,6,55,10,20,120,122.73,69.3409,10.8700,10.8519,-18.1,-0.905,S
salt,30,2,7,55,10,20,140,142.77,69.3966,10.8519,10.9139,62.0,3.100,S
salt,30,2,8,55,10,20,160,162.82,69.4523,10.9139,10.8883,-25.6,-1.280,S
salt,30,2,9,55,10,20,180,182.86,69.5080,10.8883,10.8925,4.2,0.210,S
salt,30,2,10,55,10,20,200,202.91,69.5636,10.8925,10.9036,11.1,0.555,S
salt,30,2,11,55,10,20,220,222.95,69.6193,10.9036,10.9316,28.0,1.400,S
salt,30,2,12,55,10,20,240,243.00,69.6750,10.9316,10.9325,0.9,0.045,S
salt,30,2,13,55,10,20,260,263.05,69.7307,10.9325,10.9743,41.8,2.090,S
salt,30,2,14,55,10,20,280,283.09,69.7864,10.9743,11.0137,39.4,1.970,S
salt,30,2,15,55,10,20,300,303.14,69.8420,11.0137,10.9574,-56.3,-2.815,S
salt,30,2,16,55,10,20,320,323.18,69.8977,10.9574,10.9750,17.6,0.880,S
salt,30,2,17,55,10,20,340,343.23,69.9534,10.9750,10.9481,-26.9,-1.345,S
salt,30,2,18,55,10,20,360,3.27,70.0091,10.9481,10.9612,13.1,0.655,S
salt,31,2,1,35,10,20,20,23.32,70.0648,10.9520,11.0158,63.8,3.190,S
salt,31,2,2,35,10,20,40,43.36,70.1205,11.0158,10.9971,-18.7,-0.935,S
salt,31,2,3,35,10,20,60,63.41,70.1761,10.9971,10.9718,-25.3,-1.265,S
salt,31,2,4,35,10,20,80,83.45,70.2318,10.9718,11.0132,41.4,2.070,S
salt,31,2,5,35,10,20,100,103.50,70.2875,11.0132,10.9839,-29.3,-1.465,S
salt,31,2,6,35,10,20,120,123.55,70.3432,10.9839,10.9973,13.4,0.670,S
salt,31,2,7,35,10,20,140,143.59,70.3989,10.9973,10.9830,-14.3,-0.715,S
salt,31,2,8,35,10,20,160,163.64,70.4545,10.9830,11.0217,38.7,1.935,S
salt,31,2,9,35,10,20,180,183.68,70.5102,11.0217,11.0418,20.1,1.005,S
salt,31,2,10,35,10,20,200,203.73,70.5659,11.0418,11.0127,-29.1,-1.455,S
salt,31,2,11,35,10,20,220,223.77,70.6216,11.0127,11.0273,14.6,0.730,S
salt,31,2,12,35,10,20,240,243.82,70.6773,11.0273,11.0299,2.6,0.130,S
salt,31,2,13,35,10,20,260,263.86,70.7330,11.0299,11.0244,-5.5,-0.275,S
salt,31,2,14,35,10,20,280,283.91,70.7886,11.0244,11.0864,62.0,3.100,S
salt,31,2,15,35,10,20,300,303.95,70.8443,11.0864,11.0994,13.0,0.650,S
salt,31,2,16,35,10,20,320,324.00,70.9000,11.0994,11.0726,-26.8,-1.340,S
salt,31,2,17,35,10,20,340,344.05,70.9557,11.0726,11.1068,34.2,1.710,S
salt,31,2,18,35,10,20,360,4.09,71.0114,11.1068,11.0704,-36.4,-1.820,S
salt,32,2,1,15,10,20,20,24.14,71.0670,11.0646,11.0927,28.1,1.405,S
salt,32,2,2,15,10,20,40,44.18,71.1227,11.0927,11.1412,48.5,2.425,S
salt,32,2,3,15,10,20,60,64.23,71.1784,11.1412,11.0778,-63.4,-3.170,S
salt,32,2,4,15,10,20,80,84.27,71.2341,11.0778,11.1269,49.1,2.455,S
salt,32,2,5,15,10,20,100,104.32,71.2898,11.1269,11.0459,-81.0,-4.050,S
salt,32,2,6,15,10,20,120,124.36,71.3455,11.0459,11.0847,38.8,1.940,S
salt,32,2,7,15,10,20,140,144.41,71.4011,11.0847,11.1005,15.8,0.790,S
salt,32,2,8,15,10,20,160,164.45,71.4568,11.1005,11.1015,1.0,0.050,S
salt,32,2,9,15,10,20,180,184.50,71.5125,11.1015,11.1368,35.3,1.765,S
salt,32,2,10,15,10,20,200,204.55,71.5682,11.1368,11.1247,-12.1,-0.605,S
salt,32,2,11,15,10,20,220,224.59,71.6239,11.1247,11.0883,-36.4,-1.820,S
salt,32,2,12,15,10,20,240,244.64,71.6795,11.0883,11.1535,65.2,3.260,U
salt,32,2,13,15,10,20,260,264.68,71.7352,11.1535,11.1099,-43.6,-2.180,U
salt,32,2,14,15,10,20,280,284.73,71.7909,11.1099,11.1042,-5.7,-0.285,S
salt,32,2,15,15,10,20,300,304.77,71.8466,11.1042,11.1611,56.9,2.845,S
salt,32,2,16,15,10,20,320,324.82,71.9023,11.1611,11.1636,2.5,0.125,U
salt,32,2,17,15,10,20,340,344.86,71.9580,11.1636,11.1271,-36.5,-1.825,S
salt,32,2,18,15,10,20,360,4.91,72.0136,11.1271,11.1623,35.2,1.760,S
