powder_id,trial,test,block,tilt,rep,rpm,cruise_revs,halt_phase_deg,m_base,m_halt,m_settled,afterflow_mg,dispensed_g,ff_g_per_rev,flow_at_halt_g_per_s,t_move_s,abs_mass_g,verdict
salt,2,D,1,55,1,5,3,0,-0.0054,0.9966,0.9824,-14.2,0.9878,0.3293,0.02931,36.37,0.982,ok
salt,3,D,1,55,1,10,3,0,0.9818,1.4369,1.4463,9.4,0.4645,0.1548,0.02032,18.39,1.446,ok
salt,4,D,1,55,1,15,3,0,1.4460,1.6948,1.7117,16.9,0.2657,0.0886,0.01937,12.41,1.712,ok
salt,5,D,1,55,1,25,3,0,1.7117,1.9041,1.9238,19.7,0.2121,0.0707,0.02391,7.65,1.924,ok
salt,7,D,2,55,2,5,3,0,1.9657,2.9709,2.9671,-3.8,1.0014,0.3338,0.02538,36.37,2.967,ok
salt,8,D,2,55,2,25,3,0,2.9672,3.0986,3.1049,6.3,0.1377,0.0459,0.01814,7.65,3.105,ok
salt,9,D,2,55,2,15,3,0,3.1048,3.2625,3.2648,2.3,0.1600,0.0533,0.01523,12.41,3.265,ok
salt,10,D,2,55,2,10,3,0,3.2648,3.7973,3.8087,11.4,0.5439,0.1813,0.03092,18.39,3.809,ok
salt,12,D,3,55,3,15,3,0,3.8907,4.0731,4.0749,1.8,0.1842,0.0614,0.01569,12.41,4.075,ok
salt,13,D,3,55,3,25,3,0,4.0751,4.2594,4.2641,4.7,0.1890,0.0630,0.03032,7.65,4.264,ok
salt,14,D,3,55,3,5,3,0,4.2641,5.2977,5.2831,-14.6,1.0190,0.3397,0.02602,36.37,5.283,ok
salt,15,D,3,55,3,10,3,0,5.2833,5.9048,5.9111,6.3,0.6278,0.2093,0.03404,18.39,5.911,ok
salt,17,D,4,55,4,15,3,0,5.9624,6.1486,6.1428,-5.8,0.1804,0.0601,0.01654,12.41,6.143,ok
salt,18,D,4,55,4,10,3,0,6.1428,6.6660,6.6791,13.1,0.5363,0.1788,0.02561,18.39,6.679,ok
salt,19,D,4,55,4,5,3,0,6.6791,7.7414,7.7363,-5.1,1.0572,0.3524,0.02979,36.37,7.736,ok
salt,20,D,4,55,4,25,3,0,7.7362,7.9406,7.9393,-1.3,0.2031,0.0677,0.03331,7.65,7.939,ok
salt,22,D,5,55,5,5,3,0,7.9922,9.1670,9.1653,-1.7,1.1731,0.3910,0.03040,36.37,9.165,ok
salt,23,D,5,55,5,10,3,0,9.1652,9.8982,9.9026,4.4,0.7374,0.2458,0.04871,18.39,9.903,ok
salt,24,D,5,55,5,15,3,0,9.9027,10.1681,10.1748,6.7,0.2721,0.0907,0.01652,12.41,10.175,ok
salt,25,D,5,55,5,25,3,0,10.1749,10.3549,10.3693,14.4,0.1944,0.0648,0.02636,7.65,10.369,ok
salt,34,D2,1,25,1,5,3,0,11.1667,11.6851,11.6875,2.4,0.5208,0.1736,0.01680,48.21,11.688,ok
salt,35,D2,1,25,1,10,3,0,11.6876,11.9149,11.9180,3.1,0.2304,0.0768,0.01336,18.39,11.918,ok
salt,36,D2,1,25,1,15,3,0,11.9181,12.0753,12.1019,26.6,0.1838,0.0613,0.01341,12.41,12.102,ok
salt,37,D2,1,25,1,25,3,0,12.1017,12.2387,12.2439,5.2,0.1422,0.0474,0.02065,7.65,12.244,ok
salt,38,D2,2,25,2,5,3,0,12.2440,12.7771,12.8126,35.5,0.5686,0.1895,0.01671,36.37,12.813,ok
salt,39,D2,2,25,2,25,3,0,12.8127,12.9485,12.9454,-3.1,0.1327,0.0442,0.01988,7.65,12.945,ok
salt,40,D2,2,25,2,15,3,0,12.9455,13.1269,13.1267,-0.2,0.1812,0.0604,0.01603,12.41,13.127,ok
salt,41,D2,2,25,2,10,3,0,13.1265,13.3628,13.3638,1.0,0.2373,0.0791,0.01327,18.39,13.364,ok
