powder_id,run,t_ms,mass_g,frame,tilt_deg,auger_rpm_cmd,taps_cum,phase
salt,run1,72,0.9778,S,0.0,0.00,0,preroll
salt,run1,166,0.9778,S,0.0,0.00,0,preroll
salt,run1,262,0.9778,S,0.0,0.00,0,preroll
salt,run1,358,0.9778,S,0.0,0.00,0,preroll
salt,run1,454,0.9778,S,0.0,0.00,0,preroll
salt,run1,550,0.9778,S,0.0,0.00,0,preroll
salt,run1,646,0.9778,S,0.0,0.00,0,preroll
salt,run1,742,0.9778,S,0.0,0.00,0,preroll
salt,run1,835,0.9778,S,0.0,0.00,0,preroll
salt,run1,932,0.9778,S,0.0,0.00,0,preroll
salt,run1,1027,0.9778,S,0.0,0.00,0,preroll
salt,run1,1123,0.9778,S,0.0,0.00,0,preroll
salt,run1,1219,0.9778,S,0.0,0.00,0,preroll
salt,run1,1315,0.9778,S,0.0,0.00,0,preroll
salt,run1,1411,0.9778,S,0.0,0.00,0,preroll
salt,run1,1506,0.9778,S,0.0,0.00,0,preroll
salt,run1,1602,0.9778,S,0.0,0.00,0,preroll
salt,run1,1696,0.9778,S,0.0,0.00,0,preroll
salt,run1,1792,0.9778,S,0.0,0.00,0,preroll
salt,run1,1888,0.9778,S,0.0,0.00,0,preroll
salt,run1,1984,0.9778,S,0.0,0.00,0,preroll
salt,run1,2080,0.9778,S,0.0,0.00,0,preroll
salt,run1,2175,0.9778,S,0.0,0.00,0,preroll
salt,run1,2271,0.9778,S,0.0,0.00,0,preroll
salt,run1,2367,0.9778,S,0.0,0.00,0,preroll
salt,run1,2463,0.9778,S,0.0,0.00,0,preroll
salt,run1,2557,0.9778,S,0.0,0.00,0,preroll
salt,run1,2653,0.9778,S,0.0,0.00,0,preroll
salt,run1,2748,0.9778,S,0.0,0.00,0,preroll
salt,run1,2844,0.9778,S,0.0,0.00,0,preroll
salt,run1,2940,0.9778,S,0.0,0.00,0,preroll
salt,run1,3036,0.9778,S,0.0,0.00,0,preroll
salt,run1,3132,0.9778,S,0.0,0.00,0,preroll
salt,run1,3228,0.9778,S,0.0,0.00,0,preroll
salt,run1,3323,0.9778,S,0.0,0.00,0,preroll
salt,run1,3419,0.9778,S,0.0,0.00,0,preroll
salt,run1,3513,0.9778,S,0.0,0.00,0,preroll
salt,run1,3609,0.9778,S,0.0,0.00,0,preroll
salt,run1,3705,0.9778,S,0.0,0.00,0,preroll
salt,run1,3801,0.9778,S,0.0,0.00,0,preroll
salt,run1,3897,0.9778,S,0.0,0.00,0,preroll
salt,run1,3992,0.9778,S,0.0,0.00,0,preroll
salt,run1,4088,0.9778,S,0.0,0.00,0,preroll
salt,run1,4184,0.9778,S,0.0,0.00,0,preroll
salt,run1,4280,0.9778,S,0.0,0.00,0,preroll
salt,run1,4374,0.9778,S,0.0,0.00,0,preroll
salt,run1,4470,0.9778,S,0.0,0.00,0,preroll
salt,run1,4566,0.9778,S,0.0,0.00,0,preroll
salt,run1,4661,0.9778,S,0.0,0.00,0,preroll
salt,run1,4757,0.9778,S,0.0,0.00,0,preroll
salt,run1,4853,0.9778,S,0.0,0.00,0,preroll
salt,run1,4949,0.9778,S,0.0,0.00,0,preroll
salt,run1,5045,0.9778,S,0.0,0.00,0,preroll
salt,run1,5141,0.9778,S,0.0,0.00,0,preroll
salt,run1,5235,0.9778,S,0.0,0.00,0,preroll
salt,run1,5330,0.9778,S,0.0,0.00,0,preroll
salt,run1,5426,0.9778,S,0.0,0.00,0,preroll
salt,run1,5522,0.9778,S,0.0,0.00,0,preroll
salt,run1,5618,0.9778,S,0.0,0.00,0,preroll
salt,run1,5714,0.9778,S,0.0,0.00,0,preroll
salt,run1,5810,0.9778,S,0.0,0.00,0,preroll
salt,run1,5906,0.9778,S,0.0,0.00,0,preroll
salt,run1,6001,0.9778,S,0.0,0.00,0,preroll
salt,run1,6097,0.9778,S,0.0,0.00,0,preroll
salt,run1,6191,0.9778,S,0.0,0.00,0,preroll
salt,run1,6287,0.9778,S,0.0,0.00,0,preroll
salt,run1,6383,0.9778,S,0.0,0.00,0,preroll
salt,run1,6479,0.9778,S,0.0,0.00,0,preroll
salt,run1,6574,0.9778,S,0.0,0.00,0,preroll
salt,run1,6670,0.9778,S,0.0,0.00,0,preroll
salt,run1,6766,0.9778,S,0.0,0.00,0,preroll
salt,run1,6862,0.9778,S,0.0,0.00,0,preroll
salt,run1,6958,0.9778,S,0.0,0.00,0,preroll
salt,run1,7052,0.9778,S,0.0,0.00,0,preroll
salt,run1,7147,0.9778,S,0.0,0.00,0,preroll
salt,run1,7243,0.9778,S,0.0,0.00,0,preroll
salt,run1,7339,0.9778,S,0.0,0.00,0,preroll
salt,run1,7435,0.9778,S,0.0,0.00,0,preroll
salt,run1,7531,0.9778,S,0.0,0.00,0,preroll
salt,run1,7627,0.9778,S,0.0,0.00,0,preroll
salt,run1,7723,0.9778,S,0.0,0.00,0,preroll
salt,run1,7818,0.9778,S,0.0,0.00,0,preroll
salt,run1,7912,0.9778,S,0.0,0.00,0,preroll
salt,run1,8008,0.9778,S,0.0,0.00,0,preroll
salt,run1,8104,0.9778,S,0.0,0.00,0,preroll
salt,run1,8200,0.9778,S,0.0,0.00,0,preroll
salt,run1,8296,0.9778,S,0.0,0.00,0,preroll
salt,run1,8391,0.9778,S,0.0,0.00,0,preroll
salt,run1,8487,0.9778,S,0.0,0.00,0,preroll
salt,run1,8583,0.9778,S,0.0,0.00,0,preroll
salt,run1,8679,0.9778,S,0.0,0.00,0,preroll
salt,run1,8775,0.9778,S,0.0,0.00,0,preroll
salt,run1,8869,0.9778,S,0.0,0.00,0,preroll
salt,run1,8965,0.9778,S,0.0,0.00,0,preroll
salt,run1,9060,0.9778,S,0.0,0.00,0,preroll
salt,run1,9156,0.9778,S,0.0,0.00,0,preroll
salt,run1,9252,0.9778,S,0.0,0.00,0,preroll
salt,run1,9348,0.9778,S,0.0,0.00,0,preroll
salt,run1,9444,0.9778,S,0.0,0.00,0,preroll
salt,run1,9540,0.9778,S,0.0,0.00,0,preroll
salt,run1,9635,0.9778,S,0.0,0.00,0,preroll
salt,run1,9729,0.9778,S,0.0,0.00,0,preroll
salt,run1,9825,0.9778,S,0.0,0.00,0,preroll
salt,run1,9921,0.9778,S,0.0,0.00,0,preroll
salt,run1,10017,0.9778,S,0.0,0.00,0,preroll
salt,run1,10785,0.0000,S,0.0,0.00,0,tare
salt,run1,10879,0.0000,S,0.0,0.00,0,dose
salt,run1,10984,0.0000,S,1.1,45.00,0,dose
salt,run1,11078,0.0000,S,2.4,45.00,0,dose
salt,run1,11172,0.0000,S,3.5,45.00,0,dose
salt,run1,11266,0.0000,S,4.6,45.00,0,dose
salt,run1,11360,0.0000,S,5.7,45.00,0,dose
salt,run1,11454,0.0000,S,6.9,45.00,0,dose
salt,run1,11548,0.0000,S,8.0,45.00,0,dose
salt,run1,11642,0.0000,S,9.1,45.00,0,dose
salt,run1,11738,0.0000,S,10.3,45.00,0,dose
salt,run1,11834,0.0000,S,11.4,45.00,0,dose
salt,run1,11930,0.0000,S,12.6,45.00,0,dose
salt,run1,12026,0.0000,S,13.7,45.00,0,dose
salt,run1,12122,0.0000,S,14.9,45.00,0,dose
salt,run1,12217,0.0000,S,16.0,45.00,0,dose
salt,run1,12313,0.0005,U,17.2,45.00,0,dose
salt,run1,12407,0.0005,U,18.3,45.00,0,dose
salt,run1,12503,0.0006,U,19.4,45.00,0,dose
salt,run1,12598,0.0008,U,20.6,45.00,0,dose
salt,run1,12694,0.0010,U,21.7,45.00,0,dose
salt,run1,12789,0.0055,U,22.9,45.00,0,dose
salt,run1,12885,0.0071,U,24.0,45.00,0,dose
salt,run1,12982,0.0094,U,25.0,45.00,0,dose
salt,run1,13077,0.0128,U,25.0,45.00,0,dose
salt,run1,13173,0.0173,U,25.0,45.00,0,dose
salt,run1,13267,0.0231,U,25.0,45.00,0,dose
salt,run1,13362,0.0302,U,25.0,45.00,0,dose
salt,run1,13458,0.0385,U,25.0,45.00,0,dose
salt,run1,13554,0.0479,U,25.0,45.00,0,dose
salt,run1,13650,0.0583,U,25.0,45.00,0,dose
salt,run1,13745,0.0699,U,25.0,45.00,0,dose
salt,run1,13841,0.0827,U,25.0,45.00,0,dose
salt,run1,13937,0.0970,U,25.0,45.00,0,dose
salt,run1,14033,0.1139,U,25.0,45.00,0,dose
salt,run1,14129,0.1347,U,25.0,45.00,0,dose
salt,run1,14223,0.1601,U,25.0,45.00,0,dose
salt,run1,14319,0.1891,U,25.0,45.00,0,dose
salt,run1,14414,0.2187,U,25.0,45.00,0,dose
salt,run1,14510,0.2444,U,25.0,45.00,0,dose
salt,run1,14606,0.2630,U,25.0,45.00,0,dose
salt,run1,14702,0.2735,U,25.0,45.00,0,dose
salt,run1,14798,0.2776,U,25.0,45.00,0,dose
salt,run1,14894,0.2781,U,25.0,45.00,0,dose
salt,run1,14990,0.2779,U,25.0,45.00,0,dose
salt,run1,15084,0.2798,U,25.0,45.00,0,dose
salt,run1,15179,0.2853,U,25.0,45.00,0,dose
salt,run1,15275,0.2952,U,25.0,45.00,0,dose
salt,run1,15371,0.3101,U,25.0,45.00,0,dose
salt,run1,15467,0.3303,U,25.0,45.00,0,dose
salt,run1,15563,0.3560,U,25.0,45.00,0,dose
salt,run1,15658,0.3858,U,25.0,45.00,0,dose
salt,run1,15754,0.4162,U,25.0,45.00,0,dose
salt,run1,15850,0.4428,U,25.0,45.00,0,dose
salt,run1,15944,0.4620,U,25.0,45.00,0,dose
salt,run1,16040,0.4728,U,25.0,45.00,0,dose
salt,run1,16136,0.4767,U,25.0,45.00,0,dose
salt,run1,16232,0.4769,U,25.0,45.00,0,dose
salt,run1,16327,0.4767,U,25.0,45.00,0,dose
salt,run1,16423,0.4786,U,25.0,45.00,0,dose
salt,run1,16519,0.4840,U,25.0,45.00,0,dose
salt,run1,16615,0.4939,U,25.0,45.00,0,dose
salt,run1,16711,0.5091,U,25.0,45.00,0,dose
salt,run1,16805,0.5299,U,25.0,45.00,0,dose
salt,run1,16910,0.5563,U,25.0,45.00,0,dose
salt,run1,17004,0.5867,U,25.0,45.00,0,dose
salt,run1,17098,0.6178,U,25.0,42.09,0,dose
salt,run1,17192,0.6448,U,25.0,37.99,0,dose
salt,run1,17286,0.6639,U,25.0,34.15,0,dose
salt,run1,17380,0.6741,U,25.0,31.13,0,dose
salt,run1,17476,0.6773,U,25.0,29.25,0,dose
salt,run1,17571,0.6770,U,25.0,28.37,0,dose
salt,run1,17667,0.6766,U,25.0,28.14,0,dose
salt,run1,17761,0.6788,U,25.0,28.16,0,dose
salt,run1,17857,0.6854,U,25.0,28.01,0,dose
salt,run1,17953,0.6974,U,25.0,27.41,0,dose
salt,run1,18049,0.7145,U,25.0,26.13,0,dose
salt,run1,18144,0.7351,U,25.0,24.09,0,dose
salt,run1,18240,0.7570,U,25.0,21.44,0,dose
salt,run1,18336,0.7780,U,25.0,18.61,0,dose
salt,run1,18432,0.7967,U,25.0,15.78,0,dose
salt,run1,18528,0.8129,U,25.0,13.70,0,dose
salt,run1,18622,0.8270,U,25.0,12.24,0,dose
salt,run1,18718,0.8397,U,25.0,11.14,0,dose
salt,run1,18813,0.8512,U,25.0,10.09,0,dose
salt,run1,18909,0.8613,U,25.0,8.76,0,dose
salt,run1,19005,0.8697,U,25.0,7.07,0,dose
salt,run1,19101,0.8759,U,25.0,5.20,0,dose
salt,run1,19197,0.8798,U,25.0,0.00,0,dose
salt,run1,19293,0.8813,U,25.0,0.00,0,dose
salt,run1,19388,0.8811,U,25.0,0.00,0,dose
salt,run1,19482,0.8802,U,25.0,0.00,0,dose
salt,run1,19578,0.8794,U,25.0,0.00,0,dose
salt,run1,19674,0.8789,U,25.0,0.00,0,dose
salt,run1,19770,0.8788,U,25.0,6.03,0,dose
salt,run1,19866,0.8787,U,25.0,8.32,0,dose
salt,run1,19962,0.8787,U,25.0,10.60,0,dose
salt,run1,20057,0.8786,U,25.0,12.75,0,dose
salt,run1,20153,0.8786,U,25.0,14.74,0,dose
salt,run1,20249,0.8786,U,25.0,16.56,0,dose
salt,run1,20345,0.8786,S,25.0,18.22,0,dose
salt,run1,20439,0.8786,S,25.0,19.71,0,dose
salt,run1,20535,0.8786,S,25.0,21.02,0,dose
salt,run1,20631,0.8786,S,25.0,22.14,0,dose
salt,run1,20727,0.8786,S,25.0,23.02,0,dose
salt,run1,20822,0.8786,S,25.0,23.66,0,dose
salt,run1,20918,0.8787,S,25.0,24.02,0,dose
salt,run1,21014,0.8788,U,25.0,24.16,0,dose
salt,run1,21110,0.8790,U,25.0,24.20,0,dose
salt,run1,21206,0.8860,U,25.0,24.17,0,dose
salt,run1,21300,0.8910,U,25.0,23.41,0,dose
