M,experiment,rapid-dispense-stop-response
M,powder_id,salt
M,trigger_g,0.5
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,angles_plate_deg,25.0|40.0|50.0|60.0|70.0
M,reps,2
M,noise_baseline_s,60.0
M,settle_stream_s,15.0
E,1223,noise baseline: tare, then 60 s static raw stream
P,3386,0,0.0,0,pretare,-0.0512
P,3962,0,0.0,0,tare0,-0.0001
D,4056,0,noise,-0.0003,U,0,0
D,4152,0,noise,-0.0055,U,0,0
D,4246,0,noise,-0.0103,U,0,0
D,4342,0,noise,-0.0146,U,0,0
D,4438,0,noise,-0.0157,U,0,0
D,4533,0,noise,-0.0131,U,0,0
D,4630,0,noise,-0.0089,U,0,0
D,4725,0,noise,-0.0051,U,0,0
D,4821,0,noise,-0.0019,U,0,0
D,4918,0,noise,0.0015,U,0,0
D,5013,0,noise,0.0053,U,0,0
D,5107,0,noise,0.0087,U,0,0
D,5203,0,noise,0.0100,U,0,0
D,5298,0,noise,0.0061,U,0,0
D,5394,0,noise,-0.0048,U,0,0
D,5490,0,noise,-0.0184,U,0,0
D,5586,0,noise,-0.0257,U,0,0
D,5682,0,noise,-0.0215,U,0,0
D,5778,0,noise,-0.0102,U,0,0
D,5873,0,noise,-0.0013,U,0,0
D,5967,0,noise,0.0000,U,0,0
D,6063,0,noise,-0.0038,U,0,0
D,6159,0,noise,-0.0078,U,0,0
D,6255,0,noise,-0.0095,U,0,0
D,6351,0,noise,-0.0095,U,0,0
D,6446,0,noise,-0.0092,U,0,0
D,6542,0,noise,-0.0091,U,0,0
D,6638,0,noise,-0.0093,U,0,0
D,6734,0,noise,-0.0096,U,0,0
D,6830,0,noise,-0.0099,U,0,0
D,6924,0,noise,-0.0101,U,0,0
D,7020,0,noise,-0.0101,U,0,0
D,7115,0,noise,-0.0100,U,0,0
D,7211,0,noise,-0.0098,U,0,0
D,7307,0,noise,-0.0096,U,0,0
D,7403,0,noise,-0.0095,U,0,0
D,7499,0,noise,-0.0092,U,0,0
D,7595,0,noise,-0.0091,U,0,0
D,7691,0,noise,-0.0093,U,0,0
D,7784,0,noise,-0.0183,U,0,0
D,7880,0,noise,-0.0245,U,0,0
D,7976,0,noise,-0.0247,U,0,0
D,8072,0,noise,-0.0186,U,0,0
D,8168,0,noise,-0.0113,U,0,0
D,8264,0,noise,-0.0074,U,0,0
D,8359,0,noise,-0.0076,U,0,0
D,8455,0,noise,-0.0097,U,0,0
D,8551,0,noise,-0.0112,U,0,0
D,8645,0,noise,-0.0115,U,0,0
D,8741,0,noise,-0.0113,U,0,0
D,8837,0,noise,-0.0111,U,0,0
D,8932,0,noise,-0.0113,U,0,0
D,9028,0,noise,-0.0115,U,0,0
D,9124,0,noise,-0.0119,U,0,0
D,9220,0,noise,-0.0124,U,0,0
D,9316,0,noise,-0.0151,U,0,0
D,9412,0,noise,-0.0150,U,0,0
D,9505,0,noise,-0.0141,U,0,0
D,9601,0,noise,-0.0138,U,0,0
D,9697,0,noise,-0.0137,U,0,0
D,9793,0,noise,-0.0138,U,0,0
D,9889,0,noise,-0.0137,U,0,0
D,9985,0,noise,-0.0136,U,0,0
D,10081,0,noise,-0.0135,U,0,0
D,10176,0,noise,-0.0133,U,0,0
D,10272,0,noise,-0.0131,U,0,0
D,10368,0,noise,-0.0130,U,0,0
D,10462,0,noise,-0.0129,U,0,0
D,10558,0,noise,-0.0130,U,0,0
D,10654,0,noise,-0.0130,U,0,0
D,10750,0,noise,-0.0131,U,0,0
D,10846,0,noise,-0.0131,U,0,0
D,10941,0,noise,-0.0131,U,0,0
D,11037,0,noise,-0.0130,S,0,0
D,11133,0,noise,-0.0081,U,0,0
D,11229,0,noise,-0.0060,U,0,0
D,11323,0,noise,-0.0062,U,0,0
D,11418,0,noise,-0.0092,U,0,0
D,11514,0,noise,-0.0132,U,0,0
D,11610,0,noise,-0.0165,U,0,0
D,11706,0,noise,-0.0197,U,0,0
D,11802,0,noise,-0.0236,U,0,0
D,11898,0,noise,-0.0270,U,0,0
D,11993,0,noise,-0.0275,U,0,0
D,12089,0,noise,-0.0237,U,0,0
D,12183,0,noise,-0.0163,U,0,0
D,12279,0,noise,-0.0071,U,0,0
D,12375,0,noise,0.0015,U,0,0
D,12471,0,noise,0.0064,U,0,0
D,12577,0,noise,0.0064,U,0,0
D,12758,0,noise,0.0099,U,0,0
D,12854,0,noise,0.0184,U,0,0
D,12950,0,noise,0.0242,U,0,0
D,13046,0,noise,0.0194,U,0,0
D,13140,0,noise,0.0020,U,0,0
D,13235,0,noise,-0.0222,U,0,0
D,13331,0,noise,-0.0412,U,0,0
D,13427,0,noise,-0.0452,U,0,0
D,13523,0,noise,-0.0351,U,0,0
D,13619,0,noise,-0.0205,U,0,0
D,13715,0,noise,-0.0097,U,0,0
D,13810,0,noise,-0.0043,U,0,0
D,13906,0,noise,-0.0022,U,0,0
D,14000,0,noise,-0.0012,U,0,0
D,14096,0,noise,-0.0007,U,0,0
D,14192,0,noise,-0.0007,U,0,0
D,14288,0,noise,-0.0009,U,0,0
D,14384,0,noise,-0.0010,U,0,0
D,14479,0,noise,-0.0011,U,0,0
D,14575,0,noise,-0.0011,U,0,0
D,14671,0,noise,-0.0013,U,0,0
D,14767,0,noise,-0.0014,U,0,0
D,14861,0,noise,-0.0013,U,0,0
D,14957,0,noise,-0.0012,U,0,0
D,15053,0,noise,-0.0009,U,0,0
D,15149,0,noise,-0.0007,U,0,0
D,15244,0,noise,-0.0004,U,0,0
D,15340,0,noise,-0.0004,U,0,0
D,15436,0,noise,-0.0004,U,0,0
D,15532,0,noise,-0.0005,U,0,0
D,15628,0,noise,-0.0005,U,0,0
D,15724,0,noise,-0.0004,S,0,0
D,15818,0,noise,-0.0004,S,0,0
D,15913,0,noise,-0.0005,S,0,0
D,16009,0,noise,-0.0006,U,0,0
D,16105,0,noise,-0.0006,U,0,0
D,16201,0,noise,-0.0007,U,0,0
D,16297,0,noise,-0.0007,U,0,0
D,16393,0,noise,-0.0007,U,0,0
D,16489,0,noise,-0.0007,S,0,0
D,16584,0,noise,-0.0006,S,0,0
D,16678,0,noise,-0.0006,S,0,0
D,16774,0,noise,-0.0005,U,0,0
D,16870,0,noise,-0.0005,U,0,0
D,16966,0,noise,-0.0006,S,0,0
D,17062,0,noise,-0.0006,S,0,0
D,17158,0,noise,-0.0006,S,0,0
D,17253,0,noise,-0.0008,U,0,0
D,17349,0,noise,-0.0009,U,0,0
D,17445,0,noise,-0.0009,U,0,0
D,17539,0,noise,-0.0008,U,0,0
D,17635,0,noise,-0.0008,U,0,0
D,17731,0,noise,-0.0008,S,0,0
D,17826,0,noise,-0.0008,S,0,0
D,17922,0,noise,-0.0008,S,0,0
D,18018,0,noise,-0.0008,S,0,0
D,18114,0,noise,-0.0008,S,0,0
D,18210,0,noise,-0.0007,S,0,0
D,18306,0,noise,-0.0007,S,0,0
D,18400,0,noise,-0.0007,S,0,0
D,18496,0,noise,-0.0007,S,0,0
D,18592,0,noise,-0.0007,S,0,0
D,18687,0,noise,-0.0007,S,0,0
D,18783,0,noise,-0.0007,S,0,0
D,18879,0,noise,-0.0007,S,0,0
D,18975,0,noise,-0.0007,S,0,0
D,19071,0,noise,-0.0007,S,0,0
D,19167,0,noise,-0.0007,S,0,0
D,19263,0,noise,-0.0007,S,0,0
D,19356,0,noise,-0.0007,S,0,0
D,19452,0,noise,-0.0007,S,0,0
D,19548,0,noise,-0.0007,S,0,0
D,19644,0,noise,-0.0007,S,0,0
D,19740,0,noise,-0.0007,S,0,0
D,19836,0,noise,-0.0007,S,0,0
D,19931,0,noise,-0.0007,S,0,0
D,20027,0,noise,-0.0007,S,0,0
D,20123,0,noise,-0.0007,S,0,0
D,20217,0,noise,-0.0007,S,0,0
D,20313,0,noise,-0.0007,S,0,0
D,20409,0,noise,-0.0007,S,0,0
D,20505,0,noise,-0.0007,S,0,0
D,20601,0,noise,-0.0007,S,0,0
D,20696,0,noise,-0.0007,S,0,0
D,20792,0,noise,-0.0007,S,0,0
D,20888,0,noise,-0.0007,S,0,0
D,20984,0,noise,-0.0007,S,0,0
D,21078,0,noise,-0.0007,S,0,0
D,21174,0,noise,-0.0007,S,0,0
D,21270,0,noise,-0.0007,S,0,0
D,21365,0,noise,-0.0007,S,0,0
D,21461,0,noise,-0.0007,S,0,0
D,21557,0,noise,-0.0007,S,0,0
D,21653,0,noise,-0.0007,S,0,0
D,21749,0,noise,-0.0007,S,0,0
D,21845,0,noise,-0.0007,S,0,0
D,21941,0,noise,-0.0007,S,0,0
D,22035,0,noise,-0.0007,S,0,0
D,22130,0,noise,-0.0007,S,0,0
