powder_id,trial,angle,rep,m_trig,t_disp_s,flow_g_per_s,m_settled,m_settled2,trig_overshoot_mg,afterflow_mg,total_overshoot_mg,tau_inflight_s,settle_time_s,taps,verdict
salt,1,25.0000,1,0.5137,4.7200,0.1088,0.6441,0.6439,13.7000,130.2000,143.9000,1.1963,1.4300,16,ok
salt,2,40.0000,1,0.5145,3.9600,0.1299,0.6811,0.6809,14.5000,166.4000,180.9000,1.2807,0.9530,13,ok
salt,3,50.0000,1,0.5058,3.4900,0.1449,0.6734,0.6731,5.8000,167.3000,173.1000,1.1544,1.2330,12,ok
salt,4,60.0000,1,0.5084,3.3800,0.1504,0.6219,0.6217,8.4000,113.3000,121.7000,0.7533,1.1440,11,ok
salt,5,70.0000,1,0.5079,6.2500,0.0813,0.5860,0.5858,7.9000,77.9000,85.8000,0.9586,0.6650,21,ok
salt,6,70.0000,2,0.5060,7.1100,0.0712,0.6080,0.6079,6.0000,101.9000,107.9000,1.4318,1.5250,24,ok
salt,7,60.0000,2,0.5099,5.6800,0.0898,0.6140,0.6137,9.9000,103.8000,113.7000,1.1563,1.4300,19,ok
salt,8,50.0000,2,0.5174,4.4400,0.1165,0.6334,0.6331,17.4000,115.7000,133.1000,0.9929,1.3360,15,ok
salt,9,40.0000,2,0.5139,4.3400,0.1184,0.6177,0.6175,13.9000,103.6000,117.5000,0.8749,0.7600,14,ok
salt,10,25.0000,2,0.5016,5.0100,0.1001,0.5923,0.5922,1.6000,90.6000,92.2000,0.9049,1.2400,17,ok
