powder_id,trial,angle_plate_deg,rep,prime_mg_per_rev,ctrl_mg_per_interval,post_mg_per_interval,tap1_mg,taps8_10_mean_mg,total_10_taps_mg
salt,1,0.0,1,14.0,0.00,0.00,2.3,1.00,17.6
salt,2,10.0,1,68.4,-0.03,-0.05,3.9,1.50,22.5
salt,3,18.0,1,120.9,0.03,-0.05,18.9,1.93,52.3
salt,4,25.0,1,171.7,0.00,0.00,17.2,2.07,56.0
salt,5,25.0,2,166.0,0.00,0.05,17.3,1.83,51.7
salt,6,18.0,2,108.2,0.00,0.00,11.4,3.10,50.1
salt,7,10.0,2,73.2,0.03,0.00,8.4,2.53,30.4
salt,8,0.0,2,29.1,0.00,0.00,2.5,1.17,15.3
salt,9,0.0,3,28.6,0.03,0.00,4.0,1.33,17.5
salt,10,10.0,3,74.9,0.03,0.00,5.9,2.20,27.9
salt,11,18.0,3,108.6,0.00,-0.05,20.4,2.47,53.9
salt,12,25.0,3,150.9,0.00,0.05,23.0,2.13,61.4
