powder_id,trial,angle_plate_deg,rep,tap_index,marginal_mg,cumulative_mg
salt,1,0.0,1,1,0.0,0.0
salt,1,0.0,1,2,0.1,0.1
salt,1,0.0,1,3,0.8,0.9
salt,1,0.0,1,4,0.3,1.2
salt,1,0.0,1,5,0.4,1.6
salt,1,0.0,1,6,0.1,1.7
salt,1,0.0,1,7,0.2,1.9
salt,1,0.0,1,8,0.7,2.6
salt,1,0.0,1,9,0.2,2.8
salt,1,0.0,1,10,0.6,3.4
salt,2,10.0,1,1,0.1,0.1
salt,2,10.0,1,2,0.8,0.9
salt,2,10.0,1,3,0.4,1.3
salt,2,10.0,1,4,0.1,1.4
salt,2,10.0,1,5,0.2,1.6
salt,2,10.0,1,6,0.2,1.8
salt,2,10.0,1,7,1.1,2.9
salt,2,10.0,1,8,0.6,3.5
salt,2,10.0,1,9,0.4,3.9
salt,2,10.0,1,10,0.2,4.1
salt,3,20.0,1,1,0.0,0.0
salt,3,20.0,1,2,1.1,1.1
salt,3,20.0,1,3,0.4,1.5
salt,3,20.0,1,4,0.4,1.9
salt,3,20.0,1,5,0.2,2.1
salt,3,20.0,1,6,0.7,2.8
salt,3,20.0,1,7,0.9,3.7
salt,3,20.0,1,8,0.3,4.0
salt,3,20.0,1,9,0.4,4.4
salt,3,20.0,1,10,1.4,5.8
salt,4,30.0,1,1,1.4,1.4
salt,4,30.0,1,2,1.3,2.7
salt,4,30.0,1,3,0.2,2.9
salt,4,30.0,1,4,0.8,3.7
salt,4,30.0,1,5,0.9,4.6
salt,4,30.0,1,6,1.5,6.1
salt,4,30.0,1,7,0.2,6.3
salt,4,30.0,1,8,1.6,7.9
salt,4,30.0,1,9,1.5,9.4
salt,4,30.0,1,10,1.5,10.9
salt,5,40.0,1,1,2.8,2.8
salt,5,40.0,1,2,2.1,4.9
salt,5,40.0,1,3,0.2,5.1
salt,5,40.0,1,4,1.9,7.0
salt,5,40.0,1,5,1.4,8.4
salt,5,40.0,1,6,0.2,8.6
salt,5,40.0,1,7,2.6,11.2
salt,5,40.0,1,8,1.7,12.9
salt,5,40.0,1,9,2.0,14.9
salt,5,40.0,1,10,2.5,17.4
salt,6,50.0,1,1,4.8,4.8
salt,6,50.0,1,2,2.1,6.9
salt,6,50.0,1,3,1.3,8.2
salt,6,50.0,1,4,3.5,11.7
salt,6,50.0,1,5,1.7,13.4
salt,6,50.0,1,6,1.6,15.0
salt,6,50.0,1,7,1.6,16.6
salt,6,50.0,1,8,2.1,18.7
salt,6,50.0,1,9,2.4,21.1
salt,6,50.0,1,10,3.2,24.3
salt,7,60.0,1,1,9.6,9.6
salt,7,60.0,1,2,3.7,13.3
salt,7,60.0,1,3,4.4,17.7
salt,7,60.0,1,4,3.5,21.2
salt,7,60.0,1,5,3.2,24.4
salt,7,60.0,1,6,2.3,26.7
salt,7,60.0,1,7,5.7,32.4
salt,7,60.0,1,8,3.6,36.0
salt,7,60.0,1,9,2.4,38.4
salt,7,60.0,1,10,2.7,41.1
salt,8,70.0,1,1,4.1,4.1
salt,8,70.0,1,2,9.1,13.2
salt,8,70.0,1,3,5.6,18.8
salt,8,70.0,1,4,3.9,22.7
salt,8,70.0,1,5,9.9,32.6
salt,8,70.0,1,6,63.3,95.9
salt,8,70.0,1,7,22.3,118.2
salt,8,70.0,1,8,44.2,162.4
salt,8,70.0,1,9,12.5,174.9
salt,8,70.0,1,10,122.8,297.7
salt,9,70.0,2,1,15.3,15.3
salt,9,70.0,2,2,12.6,27.9
salt,9,70.0,2,3,29.8,57.7
salt,9,70.0,2,4,22.1,79.8
salt,9,70.0,2,5,19.9,99.7
salt,9,70.0,2,6,21.5,121.2
salt,9,70.0,2,7,19.9,141.1
salt,9,70.0,2,8,10.5,151.6
salt,9,70.0,2,9,20.9,172.5
salt,9,70.0,2,10,10.4,182.9
salt,10,60.0,2,1,6.4,6.4
salt,10,60.0,2,2,4.3,10.7
salt,10,60.0,2,3,11.2,21.9
salt,10,60.0,2,4,5.6,27.5
salt,10,60.0,2,5,7.7,35.2
salt,10,60.0,2,6,9.4,44.6
salt,10,60.0,2,7,8.1,52.7
salt,10,60.0,2,8,5.3,58.0
salt,10,60.0,2,9,9.4,67.4
salt,10,60.0,2,10,6.4,73.8
salt,11,50.0,2,1,4.2,4.2
salt,11,50.0,2,2,4.3,8.5
salt,11,50.0,2,3,2.6,11.1
salt,11,50.0,2,4,3.6,14.7
salt,11,50.0,2,5,3.7,18.4
salt,11,50.0,2,6,1.7,20.1
salt,11,50.0,2,7,3.7,23.8
salt,11,50.0,2,8,2.7,26.5
salt,11,50.0,2,9,4.3,30.8
salt,11,50.0,2,10,2.0,32.8
salt,12,40.0,2,1,1.5,1.5
salt,12,40.0,2,2,1.2,2.7
salt,12,40.0,2,3,2.7,5.4
salt,12,40.0,2,4,0.2,5.6
salt,12,40.0,2,5,2.8,8.4
salt,12,40.0,2,6,0.8,9.2
salt,12,40.0,2,7,2.0,11.2
salt,12,40.0,2,8,1.7,12.9
salt,12,40.0,2,9,1.9,14.8
salt,12,40.0,2,10,0.3,15.1
salt,13,30.0,2,1,1.8,1.8
salt,13,30.0,2,2,1.4,3.2
salt,13,30.0,2,3,1.6,4.8
salt,13,30.0,2,4,1.1,5.9
salt,13,30.0,2,5,0.2,6.1
salt,13,30.0,2,6,1.5,7.6
salt,13,30.0,2,7,0.9,8.5
salt,13,30.0,2,8,0.3,8.8
salt,13,30.0,2,9,2.7,11.5
salt,13,30.0,2,10,1.1,12.6
salt,14,20.0,2,1,1.1,1.1
salt,14,20.0,2,2,0.3,1.4
salt,14,20.0,2,3,0.7,2.1
salt,14,20.0,2,4,0.5,2.6
salt,14,20.0,2,5,0.6,3.2
salt,14,20.0,2,6,1.4,4.6
salt,14,20.0,2,7,0.1,4.7
salt,14,20.0,2,8,1.1,5.8
salt,14,20.0,2,9,0.2,6.0
salt,14,20.0,2,10,0.5,6.5
salt,15,10.0,2,1,0.0,0.0
salt,15,10.0,2,2,1.2,1.2
salt,15,10.0,2,3,0.3,1.5
salt,15,10.0,2,4,0.2,1.7
salt,15,10.0,2,5,0.5,2.2
salt,15,10.0,2,6,0.4,2.6
salt,15,10.0,2,7,0.5,3.1
salt,15,10.0,2,8,0.4,3.5
salt,15,10.0,2,9,1.0,4.5
salt,15,10.0,2,10,0.1,4.6
salt,16,0.0,2,1,0.0,0.0
salt,16,0.0,2,2,1.0,1.0
salt,16,0.0,2,3,0.7,1.7
salt,16,0.0,2,4,0.5,2.2
salt,16,0.0,2,5,0.3,2.5
salt,16,0.0,2,6,0.1,2.6
salt,16,0.0,2,7,0.1,2.7
salt,16,0.0,2,8,0.2,2.9
salt,16,0.0,2,9,0.2,3.1
salt,16,0.0,2,10,0.8,3.9
salt,17,0.0,3,1,0.1,0.1
salt,17,0.0,3,2,0.8,0.9
salt,17,0.0,3,3,0.3,1.2
salt,17,0.0,3,4,0.4,1.6
salt,17,0.0,3,5,0.1,1.7
salt,17,0.0,3,6,0.1,1.8
salt,17,0.0,3,7,0.1,1.9
salt,17,0.0,3,8,0.7,2.6
salt,17,0.0,3,9,0.3,2.9
salt,17,0.0,3,10,0.1,3.0
salt,18,10.0,3,1,0.1,0.1
salt,18,10.0,3,2,1.1,1.2
salt,18,10.0,3,3,0.5,1.7
salt,18,10.0,3,4,0.3,2.0
salt,18,10.0,3,5,0.1,2.1
salt,18,10.0,3,6,0.2,2.3
salt,18,10.0,3,7,1.0,3.3
salt,18,10.0,3,8,0.5,3.8
salt,18,10.0,3,9,1.3,5.1
salt,18,10.0,3,10,0.1,5.2
salt,19,20.0,3,1,1.8,1.8
salt,19,20.0,3,2,0.1,1.9
salt,19,20.0,3,3,1.7,3.6
salt,19,20.0,3,4,0.1,3.7
salt,19,20.0,3,5,1.3,5.0
salt,19,20.0,3,6,0.1,5.1
salt,19,20.0,3,7,0.8,5.9
salt,19,20.0,3,8,1.4,7.3
salt,19,20.0,3,9,0.1,7.4
salt,19,20.0,3,10,0.8,8.2
salt,20,30.0,3,1,1.6,1.6
salt,20,30.0,3,2,1.3,2.9
salt,20,30.0,3,3,1.8,4.7
salt,20,30.0,3,4,-0.1,4.6
salt,20,30.0,3,5,0.9,5.5
salt,20,30.0,3,6,1.2,6.7
salt,20,30.0,3,7,1.1,7.8
salt,20,30.0,3,8,1.2,9.0
salt,20,30.0,3,9,1.3,10.3
salt,20,30.0,3,10,1.2,11.5
salt,21,40.0,3,1,1.4,1.4
salt,21,40.0,3,2,1.5,2.9
salt,21,40.0,3,3,1.5,4.4
salt,21,40.0,3,4,1.1,5.5
salt,21,40.0,3,5,0.3,5.8
salt,21,40.0,3,6,1.7,7.5
salt,21,40.0,3,7,1.4,8.9
salt,21,40.0,3,8,0.3,9.2
salt,21,40.0,3,9,0.8,10.0
salt,21,40.0,3,10,2.1,12.1
salt,22,50.0,3,1,3.9,3.9
salt,22,50.0,3,2,3.2,7.1
salt,22,50.0,3,3,1.3,8.4
salt,22,50.0,3,4,2.2,10.6
salt,22,50.0,3,5,0.9,11.5
salt,22,50.0,3,6,3.0,14.5
salt,22,50.0,3,7,2.9,17.4
salt,22,50.0,3,8,2.2,19.6
salt,22,50.0,3,9,2.0,21.6
salt,22,50.0,3,10,3.0,24.6
salt,23,60.0,3,1,9.5,9.5
salt,23,60.0,3,2,5.5,15.0
salt,23,60.0,3,3,9.6,24.6
salt,23,60.0,3,4,5.2,29.8
salt,23,60.0,3,5,3.1,32.9
salt,23,60.0,3,6,4.0,36.9
salt,23,60.0,3,7,6.1,43.0
salt,23,60.0,3,8,8.7,51.7
salt,23,60.0,3,9,4.6,56.3
salt,23,60.0,3,10,4.0,60.3
salt,24,70.0,3,1,8.2,8.2
salt,24,70.0,3,2,12.5,20.7
salt,24,70.0,3,3,6.3,27.0
salt,24,70.0,3,4,2.3,29.3
salt,24,70.0,3,5,3.7,33.0
salt,24,70.0,3,6,7.9,40.9
salt,24,70.0,3,7,16.8,57.7
salt,24,70.0,3,8,13.0,70.7
salt,24,70.0,3,9,6.2,76.9
salt,24,70.0,3,10,13.7,90.6
