powder_id,trial,angle_plate_deg,rep,prime_mg_per_rev,ctrl_mg_per_interval,post_mg_per_interval,tap1_mg,taps8_10_mean_mg,total_10_taps_mg
salt,1,0.0,1,74.6,0.03,0.20,0.0,0.50,3.4
salt,2,10.0,1,89.3,0.03,0.20,0.1,0.40,4.1
salt,3,20.0,1,138.4,0.07,0.00,0.0,0.70,5.8
salt,4,30.0,1,188.2,0.00,0.00,1.4,1.53,10.9
salt,5,40.0,1,168.1,0.00,0.00,2.8,2.07,17.4
salt,6,50.0,1,219.5,0.03,0.00,4.8,2.57,24.3
salt,7,60.0,1,180.9,0.00,0.00,9.6,2.90,41.1
salt,8,70.0,1,99.5,0.00,-0.05,4.1,59.83,297.7
salt,9,70.0,2,187.7,-0.03,-0.05,15.3,13.93,182.9
salt,10,60.0,2,46.1,0.00,0.00,6.4,7.03,73.8
salt,11,50.0,2,85.5,-0.03,-0.05,4.2,3.00,32.8
salt,12,40.0,2,162.2,0.00,0.30,1.5,1.30,15.1
salt,13,30.0,2,117.8,0.00,-0.05,1.8,1.37,12.6
salt,14,20.0,2,34.0,0.00,0.10,1.1,0.60,6.5
salt,15,10.0,2,46.8,0.00,0.10,0.0,0.50,4.6
salt,16,0.0,2,47.3,-0.03,0.10,0.0,0.40,3.9
salt,17,0.0,3,62.3,0.00,0.25,0.1,0.37,3.0
salt,18,10.0,3,81.5,0.00,0.05,0.1,0.63,5.2
salt,19,20.0,3,123.1,0.03,0.15,1.8,0.77,8.2
salt,20,30.0,3,79.4,0.00,0.00,1.6,1.23,11.5
salt,21,40.0,3,168.9,0.00,0.05,1.4,1.07,12.1
salt,22,50.0,3,106.1,0.00,0.00,3.9,2.40,24.6
salt,23,60.0,3,123.3,-0.03,-0.05,9.5,5.77,60.3
salt,24,70.0,3,48.7,-0.03,0.00,8.2,10.97,90.6
