powder_id,n,target_g,dispensed_g,error_g,status,elapsed_s,auger_rev,taps,phase_cycles,t_ms
white-rice-flour,0,1.0,0.8597,-0.1403,cycle-budget,822.0,38.75,0,bulk:51;fine:200,1223964
white-rice-flour,1,1.0,0.8399,-0.1601,cycle-budget,825.0,37.83,0,bulk:48;fine:200,2048494
white-rice-flour,2,1.0,0.8868,-0.1132,cycle-budget,818.0,34.17,0,bulk:36;fine:200,2867008
sodium-alginate,0,1.0,0.7285,-0.2715,cycle-budget,836.0,52.5,0,bulk:103;fine:200,1238236
sodium-alginate,1,1.0,0.6928,-0.3072,cycle-budget,840.0,54.33,0,bulk:113;fine:200,2077786
sodium-alginate,2,1.0,0.7043,-0.2957,cycle-budget,843.0,55.25,0,bulk:114;fine:200,2921045
brown-rice-flour,0,1.0,0.0018,-0.9982,stalled,6.0,4.58,0,bulk:16,407149
brown-rice-flour,1,1.0,0.0008,-0.9992,stalled,8.0,4.58,0,bulk:17,414994
brown-rice-flour,2,1.0,0.0,-1.0,stalled,7.0,4.58,0,bulk:14,421972
calcium-lactate,0,1.0,0.9846,-0.0154,stalled,265.0,4.89,166,bulk:13;fine:16;tap:83,680541
calcium-lactate,1,1.0,0.9654,-0.0346,stalled,263.0,5.81,164,bulk:15;fine:16;tap:82,943622
calcium-lactate,2,1.0,0.9705,-0.0295,stalled,215.0,5.81,114,bulk:15;fine:16;tap:57,1158400
carboxymethyl-cellulose,0,1.0,0.9511,-0.0489,stalled,651.0,31.68,66,bulk:53;fine:135;tap:33,1052051
carboxymethyl-cellulose,1,1.0,0.9575,-0.0425,stalled,668.0,30.89,78,bulk:51;fine:136;tap:39,1719837
carboxymethyl-cellulose,2,1.0,0.9619,-0.0381,stalled,688.0,31.93,92,bulk:56;fine:137;tap:46,2408000
xanthan-gum,0,1.0,0.9564,-0.0436,stalled,174.0,6.72,76,bulk:16;fine:16;tap:38,575915
xanthan-gum,1,1.0,0.9699,-0.0301,stalled,199.0,6.97,90,bulk:18;fine:18;tap:45,775016
xanthan-gum,2,1.0,0.975,-0.025,stalled,193.0,6.97,86,bulk:18;fine:18;tap:43,968276
salt,0,1.0,0.9953,-0.0047,ok,265.0,9.83,70,bulk:16;fine:42;tap:35,675008
salt,1,1.0,0.9965,-0.0035,ok,204.0,9.46,28,bulk:15;fine:39;tap:14,879634
salt,2,1.0,1.0088,0.0088,overshoot,113.0,6.92,0,bulk:14;fine:26;tap:0,992669
